Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:20:39 UTC 2014,27.4,0.12,0.1267,1.0,,
Mon Feb 10 14:20:44 UTC 2014,27.4,0.12,0.1267,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:20:54 UTC 2014,0.12,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:01 UTC 2014,27.7,0.12,0.1265,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:10 UTC 2014,21.3,0.12,0.1265,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:19 UTC 2014,21.3,0.12,0.1264,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:28 UTC 2014,21.3,0.12,0.1264,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:37 UTC 2014,27.9,0.12,0.1264,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:46 UTC 2014,27.9,0.12,0.1263,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:55 UTC 2014,21.3,0.12,0.1262,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:04 UTC 2014,21.3,0.12,0.1261,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:13 UTC 2014,27.2,0.12,0.1261,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:22 UTC 2014,27.2,0.12,0.126,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:31 UTC 2014,27.2,0.12,0.126,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:40 UTC 2014,32.2,0.12,0.126,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:49 UTC 2014,32.2,0.12,0.126,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:58 UTC 2014,21.9,0.12,0.126,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:23:07 UTC 2014,21.9,0.12,0.126,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:12 UTC 2014,21.9,0.12,0.1259,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:17 UTC 2014,21.9,0.12,0.1259,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:22 UTC 2014,21.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:27 UTC 2014,21.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:32 UTC 2014,21.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:37 UTC 2014,21.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:42 UTC 2014,27.9,0.12,0.1259,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:47 UTC 2014,27.9,0.12,0.1259,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:52 UTC 2014,27.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:57 UTC 2014,27.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:02 UTC 2014,27.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:07 UTC 2014,27.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:13 UTC 2014,27.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:18 UTC 2014,27.9,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:23 UTC 2014,17.7,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:28 UTC 2014,17.7,0.12,0.1258,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:33 UTC 2014,17.7,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:38 UTC 2014,17.7,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:43 UTC 2014,25.1,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:48 UTC 2014,25.1,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:53 UTC 2014,19.2,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:58 UTC 2014,19.2,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:03 UTC 2014,24.1,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:08 UTC 2014,24.1,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:13 UTC 2014,19.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:18 UTC 2014,19.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:23 UTC 2014,19.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:28 UTC 2014,19.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:33 UTC 2014,24.8,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:38 UTC 2014,24.8,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:43 UTC 2014,19.2,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:48 UTC 2014,19.2,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:53 UTC 2014,24.5,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:58 UTC 2014,24.5,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:03 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:08 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:13 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:18 UTC 2014,17.6,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:23 UTC 2014,23.8,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:28 UTC 2014,23.8,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:33 UTC 2014,17.9,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:38 UTC 2014,17.9,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:43 UTC 2014,23.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:48 UTC 2014,23.4,0.12,0.1257,1.0,DataNodeServiceUnit_scaleOut,
