Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:20:40 UTC 2014,27.4,0.24,0.1267,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:20:49 UTC 2014,27.4,0.24,-1.0,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:20:58 UTC 2014,0.24,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:05 UTC 2014,48.5,0.24,0.1265,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:14 UTC 2014,45.3,0.24,0.1265,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:23 UTC 2014,44.8,0.24,0.1264,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:32 UTC 2014,48.1,0.24,0.1264,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:41 UTC 2014,43.6,0.24,0.1263,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:50 UTC 2014,40.3,0.24,0.1262,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:59 UTC 2014,40.2,0.24,0.1261,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:08 UTC 2014,40.2,0.24,0.1261,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:17 UTC 2014,43.15,0.24,0.126,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:26 UTC 2014,45.9,0.24,0.126,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:35 UTC 2014,46.05,0.24,0.126,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:44 UTC 2014,48.55,0.24,0.126,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:53 UTC 2014,49.25,0.24,0.126,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:23:02 UTC 2014,49.25,0.24,0.126,2.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:11 UTC 2014,42.85,0.36,0.1259,3.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:16 UTC 2014,42.85,0.36,0.1259,3.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:21 UTC 2014,45.15,0.36,0.1258,3.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:26 UTC 2014,45.15,0.36,0.1258,3.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:31 UTC 2014,45.15,0.36,0.1258,3.0,DataNodeServiceUnit_scaleOut,
