Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 19:53:49 UTC 2014,67.2,0.36,0.323,3.0,,
Mon Feb 10 19:53:54 UTC 2014,67.2,0.36,0.323,3.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:03 UTC 2014,0.12,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:10 UTC 2014,64.0,0.12,0.3214,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:21 UTC 2014,72.3,0.12,0.3188,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:31 UTC 2014,72.3,0.12,0.3177,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:40 UTC 2014,72.3,0.12,0.3177,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:50 UTC 2014,70.4,0.12,0.3163,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:00 UTC 2014,70.4,0.12,0.3163,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:09 UTC 2014,70.1,0.12,0.3148,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:19 UTC 2014,55.4,0.12,0.3133,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:29 UTC 2014,55.4,0.12,0.3133,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:39 UTC 2014,55.4,0.12,0.3122,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:48 UTC 2014,55.4,0.12,0.3107,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:58 UTC 2014,76.4,0.12,0.3107,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:07 UTC 2014,76.4,0.12,0.3107,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:16 UTC 2014,70.5,0.12,0.3087,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:22 UTC 2014,70.5,0.12,0.3087,1.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:27 UTC 2014,70.5,0.12,0.3087,1.0,EventProcessingServiceUnit_scaleOut,
