Time ,cost ,responseTime ,throughput ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 19:53:49 UTC 2014,0.72,6.0,30.0,104.0,6.0,,
Mon Feb 10 19:53:54 UTC 2014,0.72,6.0,30.0,104.0,6.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:04 UTC 2014,0.24,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:11 UTC 2014,0.24,4.0,183.0,33.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:22 UTC 2014,0.24,3.0,201.0,181.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:33 UTC 2014,0.24,4.0,136.0,24.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:43 UTC 2014,0.24,3.0,107.0,96.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:53 UTC 2014,0.24,4.0,162.0,123.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:03 UTC 2014,0.24,4.0,43.0,167.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:13 UTC 2014,0.24,4.0,65.0,79.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:23 UTC 2014,0.24,4.0,30.0,104.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:33 UTC 2014,0.24,4.0,199.0,25.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:43 UTC 2014,0.24,4.0,212.0,112.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:54 UTC 2014,0.24,4.0,131.0,216.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:04 UTC 2014,0.24,4.0,198.0,62.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:14 UTC 2014,0.24,4.0,214.0,234.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:22 UTC 2014,0.36,4.0,210.0,174.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:27 UTC 2014,0.36,4.0,210.0,174.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:32 UTC 2014,0.36,4.0,212.0,31.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:37 UTC 2014,0.36,4.0,212.0,31.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:42 UTC 2014,0.36,5.0,119.0,197.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:47 UTC 2014,0.36,5.0,119.0,197.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:53 UTC 2014,0.36,4.0,171.0,165.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:58 UTC 2014,0.36,4.0,171.0,165.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:03 UTC 2014,0.36,4.0,195.0,117.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:08 UTC 2014,0.36,4.0,195.0,117.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:13 UTC 2014,0.36,3.0,214.0,202.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:18 UTC 2014,0.36,3.0,214.0,202.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:23 UTC 2014,0.36,4.0,98.0,207.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:28 UTC 2014,0.36,4.0,98.0,207.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:33 UTC 2014,0.36,4.0,204.0,121.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:39 UTC 2014,0.36,4.0,204.0,121.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:44 UTC 2014,0.36,4.0,207.0,197.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:49 UTC 2014,0.36,4.0,207.0,197.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:54 UTC 2014,0.36,1.5,128.0,49.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:59 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:05 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:10 UTC 2014,0.36,1.5,56.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:15 UTC 2014,0.36,1.5,56.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:20 UTC 2014,0.36,1.5,130.0,62.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:26 UTC 2014,0.36,1.5,130.0,62.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:31 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:36 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:42 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:47 UTC 2014,0.36,-0.5,-1.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:52 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:57 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:02 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:08 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:13 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:18 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:23 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:28 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:33 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:38 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:43 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:48 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:53 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:59 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:04 UTC 2014,0.36,7.0,1.0,22.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:09 UTC 2014,0.36,7.0,1.0,22.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:14 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:19 UTC 2014,0.36,0.0,0.0,1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:24 UTC 2014,0.36,0.0,0.0,1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:30 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:35 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:40 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:46 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:51 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:57 UTC 2014,0.36,0.0,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:02 UTC 2014,0.36,4.0,1.0,10.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:07 UTC 2014,0.36,4.0,1.0,10.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:12 UTC 2014,0.36,3.0,3.0,5.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:17 UTC 2014,0.36,3.0,3.0,5.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:22 UTC 2014,0.36,0.0,0.0,136.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:27 UTC 2014,0.36,0.0,0.0,136.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:32 UTC 2014,0.36,4.0,7.0,21.0,3.0,EventProcessingServiceUnit_scaleOut,
