Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 19:53:49 UTC 2014,0.6,6.0,30.0,5.0,,
Mon Feb 10 19:53:54 UTC 2014,0.6,6.0,30.0,5.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:03 UTC 2014,0.12,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:10 UTC 2014,0.12,4.0,183.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:20 UTC 2014,0.12,3.0,201.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:29 UTC 2014,0.12,4.0,136.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:39 UTC 2014,0.12,3.0,107.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:48 UTC 2014,0.12,4.0,162.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:54:58 UTC 2014,0.12,4.0,43.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:07 UTC 2014,0.12,4.0,43.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:16 UTC 2014,0.12,4.0,65.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:25 UTC 2014,0.12,4.0,30.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:34 UTC 2014,0.12,4.0,199.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:43 UTC 2014,0.12,4.0,212.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:55:52 UTC 2014,0.12,4.0,131.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:01 UTC 2014,0.12,4.0,198.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:11 UTC 2014,0.12,4.0,214.0,1.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 19:56:20 UTC 2014,0.24,4.0,210.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:26 UTC 2014,0.24,4.0,210.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:31 UTC 2014,0.24,4.0,212.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:36 UTC 2014,0.24,4.0,212.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:41 UTC 2014,0.24,5.0,119.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:46 UTC 2014,0.24,5.0,119.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:51 UTC 2014,0.24,4.0,171.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:56:57 UTC 2014,0.24,4.0,171.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:02 UTC 2014,0.24,4.0,195.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:07 UTC 2014,0.24,4.0,195.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:12 UTC 2014,0.24,3.0,214.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:17 UTC 2014,0.24,3.0,214.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:22 UTC 2014,0.24,4.0,98.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:28 UTC 2014,0.24,4.0,98.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:33 UTC 2014,0.24,4.0,204.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:38 UTC 2014,0.24,4.0,204.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:43 UTC 2014,0.24,4.0,207.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:48 UTC 2014,0.24,4.0,207.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:53 UTC 2014,0.24,1.5,128.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:57:58 UTC 2014,0.24,1.5,128.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:03 UTC 2014,0.24,-0.5,-1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:08 UTC 2014,0.24,-0.5,-1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:14 UTC 2014,0.24,1.5,56.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:19 UTC 2014,0.24,1.5,56.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:24 UTC 2014,0.24,1.5,130.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:29 UTC 2014,0.24,1.5,130.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:34 UTC 2014,0.24,-0.5,-1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:39 UTC 2014,0.24,-0.5,-1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:45 UTC 2014,0.24,-0.5,-1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:50 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:58:55 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:01 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:07 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:12 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:17 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:22 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:27 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:33 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:38 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:43 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:48 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:53 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 19:59:58 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:03 UTC 2014,0.24,7.0,1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:08 UTC 2014,0.24,7.0,1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:13 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:19 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:24 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:29 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:34 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:39 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:45 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:50 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:00:56 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:01 UTC 2014,0.24,4.0,1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:06 UTC 2014,0.24,4.0,1.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:11 UTC 2014,0.24,3.0,3.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:17 UTC 2014,0.24,3.0,3.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:22 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:27 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:32 UTC 2014,0.24,4.0,7.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:37 UTC 2014,0.24,4.0,7.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:42 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:47 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:01:52 UTC 2014,0.24,4.0,18.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:01 UTC 2014,0.24,3.0,11.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:11 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:20 UTC 2014,0.24,4.0,8.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:30 UTC 2014,0.24,4.0,4.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:39 UTC 2014,0.24,4.0,72.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:49 UTC 2014,0.24,4.0,12.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:02:59 UTC 2014,0.24,0.0,0.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:08 UTC 2014,0.24,6.0,1.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:17 UTC 2014,0.24,6.0,16.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:27 UTC 2014,0.24,3.0,16.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:36 UTC 2014,0.24,4.0,156.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:45 UTC 2014,0.24,3.0,108.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:03:54 UTC 2014,0.24,4.0,14.0,2.0,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Mon Feb 10 20:04:03 UTC 2014,0.24,3.0,82.0,2.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:12 UTC 2014,0.36,3.0,15.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:17 UTC 2014,0.36,3.0,15.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:23 UTC 2014,0.36,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:28 UTC 2014,0.36,0.0,0.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:33 UTC 2014,0.36,4.0,6.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:38 UTC 2014,0.36,4.0,6.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:43 UTC 2014,0.36,1.5,9.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:48 UTC 2014,0.36,1.5,9.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:53 UTC 2014,0.36,-0.5,-1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:04:58 UTC 2014,0.36,-0.5,-1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:03 UTC 2014,0.36,-0.5,-1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:09 UTC 2014,0.36,-0.5,-1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:14 UTC 2014,0.36,-0.5,-1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:19 UTC 2014,0.36,-0.5,-1.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:24 UTC 2014,0.36,4.5,51.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:29 UTC 2014,0.36,4.5,51.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:34 UTC 2014,0.36,8.0,84.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:39 UTC 2014,0.36,5.5,61.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:45 UTC 2014,0.36,5.5,61.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:50 UTC 2014,0.36,1.5,33.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:05:56 UTC 2014,0.36,1.5,33.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:01 UTC 2014,0.36,5.5,87.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:07 UTC 2014,0.36,5.5,87.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:12 UTC 2014,0.36,6.0,72.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:17 UTC 2014,0.36,6.0,72.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:23 UTC 2014,0.36,6.5,161.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:28 UTC 2014,0.36,6.5,161.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:33 UTC 2014,0.36,5.5,77.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:38 UTC 2014,0.36,5.5,77.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:43 UTC 2014,0.36,7.0,51.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:48 UTC 2014,0.36,7.0,51.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:54 UTC 2014,0.36,5.0,11.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:06:59 UTC 2014,0.36,5.0,11.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:07:04 UTC 2014,0.36,6.5,85.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:07:09 UTC 2014,0.36,6.0,20.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:07:15 UTC 2014,0.36,6.0,20.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:07:20 UTC 2014,0.36,2.5,2.0,3.0,EventProcessingServiceUnit_scaleOut,
Mon Feb 10 20:07:26 UTC 2014,0.36,2.5,2.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:07:31 UTC 2014,0.36,6.0,30.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:07:37 UTC 2014,0.36,6.0,30.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:07:42 UTC 2014,0.36,5.0,44.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:07:47 UTC 2014,0.36,5.0,44.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:07:53 UTC 2014,0.36,5.0,74.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:07:58 UTC 2014,0.36,5.0,74.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:03 UTC 2014,0.36,5.5,19.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:09 UTC 2014,0.36,5.5,19.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:14 UTC 2014,0.36,2.0,3.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:19 UTC 2014,0.36,2.0,3.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:24 UTC 2014,0.36,6.5,98.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:29 UTC 2014,0.36,1.5,59.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:35 UTC 2014,0.36,1.5,59.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:40 UTC 2014,0.36,6.5,35.0,3.0,DataNodeServiceUnit_scaleIn,
Mon Feb 10 20:08:45 UTC 2014,0.36,6.5,35.0,3.0,DataNodeServiceUnit_scaleIn,
