Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:20:39 UTC 2014,0.12,23.0,1.0,,
Mon Feb 10 14:20:44 UTC 2014,0.12,23.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:20:52 UTC 2014,0.12,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:20:59 UTC 2014,0.12,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:07 UTC 2014,0.12,82.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:15 UTC 2014,0.12,84.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:23 UTC 2014,0.12,173.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:31 UTC 2014,0.12,111.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:39 UTC 2014,0.12,17.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:47 UTC 2014,0.12,17.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:21:55 UTC 2014,0.12,230.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:03 UTC 2014,0.12,341.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:11 UTC 2014,0.12,100.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:19 UTC 2014,0.12,14.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:27 UTC 2014,0.12,14.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:35 UTC 2014,0.12,275.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:43 UTC 2014,0.12,325.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:51 UTC 2014,0.12,61.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:22:59 UTC 2014,0.12,16.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Mon Feb 10 14:23:07 UTC 2014,0.12,16.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:12 UTC 2014,0.12,62.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:17 UTC 2014,0.12,62.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:22 UTC 2014,0.12,257.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:27 UTC 2014,0.12,257.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:32 UTC 2014,0.12,91.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:37 UTC 2014,0.12,91.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:42 UTC 2014,0.12,3.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:47 UTC 2014,0.12,3.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:52 UTC 2014,0.12,34.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:23:57 UTC 2014,0.12,34.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:02 UTC 2014,0.12,92.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:07 UTC 2014,0.12,92.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:12 UTC 2014,0.12,30.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:18 UTC 2014,0.12,30.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:23 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:28 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:33 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:38 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:48 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:53 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:24:58 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:03 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:08 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:13 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:18 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:23 UTC 2014,0.12,19.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:28 UTC 2014,0.12,19.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:33 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:38 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:48 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:53 UTC 2014,0.12,27.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:25:58 UTC 2014,0.12,27.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:03 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:08 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:13 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:18 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:23 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:28 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:33 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:38 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:48 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:53 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:26:58 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:27:03 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
