Time ,cost/client/h , ongoingAction, targetedNodeID
Tue Feb 18 09:39:42 UTC 2014,0.48,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:49 UTC 2014,0.48,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:55 UTC 2014,0.48,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:01 UTC 2014,0.48,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:07 UTC 2014,0.0036,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:13 UTC 2014,0.0192,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:19 UTC 2014,0.0192,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:25 UTC 2014,0.0096,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:31 UTC 2014,0.0096,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:38 UTC 2014,0.0096,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:44 UTC 2014,0.002,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:50 UTC 2014,0.002,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:40:56 UTC 2014,0.0024,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:01 UTC 2014,0.0024,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:06 UTC 2014,0.0125,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:11 UTC 2014,0.0125,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:17 UTC 2014,0.0154,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:22 UTC 2014,0.0154,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:27 UTC 2014,0.0031,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:32 UTC 2014,0.0031,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:37 UTC 2014,0.0023,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:42 UTC 2014,0.0023,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:47 UTC 2014,0.0023,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:52 UTC 2014,0.0023,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:57 UTC 2014,0.0023,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:02 UTC 2014,0.0032,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:07 UTC 2014,0.0032,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:12 UTC 2014,0.0032,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:17 UTC 2014,0.6,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:22 UTC 2014,0.6,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:27 UTC 2014,0.6,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:32 UTC 2014,0.06,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:37 UTC 2014,0.06,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:42 UTC 2014,0.0113,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:47 UTC 2014,0.0113,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:52 UTC 2014,0.0113,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:57 UTC 2014,0.002,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:03 UTC 2014,0.002,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:08 UTC 2014,0.002,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:13 UTC 2014,0.002,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:18 UTC 2014,0.0028,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:23 UTC 2014,0.0028,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:28 UTC 2014,0.0028,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:33 UTC 2014,0.0028,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:38 UTC 2014,0.3,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:43:45 UTC 2014,0.3,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:43:50 UTC 2014,0.3,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:43:55 UTC 2014,0.0097,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:00 UTC 2014,0.0097,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:05 UTC 2014,0.0097,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:10 UTC 2014,0.0036,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:16 UTC 2014,0.0036,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:21 UTC 2014,0.0036,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:26 UTC 2014,0.0077,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:31 UTC 2014,0.0077,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:36 UTC 2014,0.0077,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:41 UTC 2014,0.0023,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:46 UTC 2014,0.0023,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:51 UTC 2014,0.0023,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:56 UTC 2014,0.0042,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:01 UTC 2014,0.0042,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:06 UTC 2014,0.0042,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:11 UTC 2014,0.0086,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:16 UTC 2014,0.0086,EventProcessingServiceUnit_scaleIn,
