Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:39:40 UTC 2014,28.8,0.12,0.3384,1.0,,
Tue Feb 18 09:39:46 UTC 2014,28.8,0.12,0.3384,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:55 UTC 2014,0.12,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:03 UTC 2014,30.9,0.12,0.338,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:12 UTC 2014,30.9,0.12,0.3373,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:21 UTC 2014,26.7,0.12,0.3373,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:30 UTC 2014,26.7,0.12,0.3366,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:39 UTC 2014,33.6,0.12,0.3358,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:48 UTC 2014,33.6,0.12,0.3346,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:40:56 UTC 2014,33.6,0.12,0.3346,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:01 UTC 2014,33.6,0.12,0.3346,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:06 UTC 2014,33.6,0.12,0.3346,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:12 UTC 2014,33.6,0.12,0.3346,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:17 UTC 2014,27.7,0.12,0.3335,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:22 UTC 2014,27.7,0.12,0.3335,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:27 UTC 2014,31.1,0.12,0.3326,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:32 UTC 2014,31.1,0.12,0.3326,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:37 UTC 2014,31.1,0.12,0.3326,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:42 UTC 2014,31.1,0.12,0.3326,1.0,DataNodeServiceUnit_scaleOut,
