Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:39:42 UTC 2014,49.0,0.24,0.3384,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:51 UTC 2014,0.24,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:58 UTC 2014,0.24,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:06 UTC 2014,45.3,0.24,0.338,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:15 UTC 2014,43.2,0.24,0.3373,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:24 UTC 2014,49.65,0.24,0.3366,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:33 UTC 2014,49.65,0.24,0.3358,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:42 UTC 2014,55.55,0.24,0.3351,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:51 UTC 2014,55.55,0.36,0.3346,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:40:56 UTC 2014,55.55,0.36,0.3346,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:01 UTC 2014,55.55,0.36,0.3346,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:07 UTC 2014,48.55,0.36,0.3346,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:12 UTC 2014,48.55,0.36,0.3346,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:17 UTC 2014,45.6,0.36,0.3335,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:22 UTC 2014,45.6,0.36,0.3335,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:27 UTC 2014,52.6,0.36,0.3326,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:32 UTC 2014,52.6,0.36,0.3326,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:37 UTC 2014,54.475,0.36,0.3326,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:42 UTC 2014,52.475,0.36,0.3317,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:47 UTC 2014,52.475,0.36,0.3317,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:53 UTC 2014,52.475,0.36,0.3317,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:58 UTC 2014,52.475,0.36,0.3317,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:03 UTC 2014,49.425,0.36,0.3303,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:08 UTC 2014,49.425,0.36,0.3303,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:13 UTC 2014,49.425,0.36,0.3303,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:18 UTC 2014,54.5,0.36,0.3297,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:23 UTC 2014,54.5,0.36,0.3297,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:28 UTC 2014,55.475,0.36,0.3293,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:33 UTC 2014,55.475,0.36,0.3293,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:38 UTC 2014,55.475,0.36,0.3293,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:43 UTC 2014,56.175,0.36,0.3332,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:48 UTC 2014,56.175,0.36,0.3332,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:53 UTC 2014,56.175,0.36,0.3332,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:58 UTC 2014,57.425,0.36,0.3332,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:03 UTC 2014,57.425,0.36,0.3332,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:08 UTC 2014,57.425,0.36,0.3332,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:14 UTC 2014,51.325,0.36,0.3338,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:19 UTC 2014,51.325,0.36,0.3338,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:24 UTC 2014,51.325,0.36,0.3338,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:29 UTC 2014,51.325,0.36,0.3338,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:34 UTC 2014,50.95,0.36,0.3342,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:39 UTC 2014,50.95,0.36,0.3342,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:43:45 UTC 2014,50.95,0.36,0.3342,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:43:50 UTC 2014,50.95,0.36,0.3342,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:43:55 UTC 2014,51.475,0.36,0.3348,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:00 UTC 2014,51.475,0.36,0.3348,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:05 UTC 2014,51.475,0.36,0.3348,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:10 UTC 2014,52.825,0.36,0.3347,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:15 UTC 2014,52.825,0.36,0.3347,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:20 UTC 2014,52.825,0.36,0.3347,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:25 UTC 2014,48.05,0.36,0.3343,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:30 UTC 2014,48.05,0.36,0.3343,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:36 UTC 2014,48.05,0.36,0.3343,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:41 UTC 2014,47.0,0.36,0.3339,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:46 UTC 2014,47.0,0.36,0.3339,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:51 UTC 2014,47.0,0.36,0.3339,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:44:56 UTC 2014,50.8,0.36,0.3335,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:01 UTC 2014,50.8,0.36,0.3335,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:06 UTC 2014,50.8,0.36,0.3335,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:11 UTC 2014,57.675,0.36,0.3331,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:16 UTC 2014,57.675,0.36,0.3331,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:21 UTC 2014,57.675,0.36,0.3331,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:26 UTC 2014,60.125,0.36,0.3331,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:31 UTC 2014,49.725,0.36,0.3325,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:36 UTC 2014,49.725,0.36,0.3325,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:41 UTC 2014,49.725,0.36,0.3325,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:46 UTC 2014,49.725,0.36,0.3325,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:51 UTC 2014,49.725,0.36,0.3325,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:45:57 UTC 2014,49.975,0.36,0.3325,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:02 UTC 2014,45.975,0.36,0.3321,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:07 UTC 2014,46.675,0.36,0.3318,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:12 UTC 2014,46.675,0.36,0.3318,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:17 UTC 2014,46.675,0.36,0.3318,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:22 UTC 2014,53.275,0.36,0.3318,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:27 UTC 2014,54.525,0.36,0.3313,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:32 UTC 2014,47.175,0.36,0.3309,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:37 UTC 2014,47.175,0.36,0.3309,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:42 UTC 2014,47.175,0.36,0.3309,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:47 UTC 2014,47.175,0.36,0.3309,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:52 UTC 2014,47.175,0.36,0.3309,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:46:57 UTC 2014,47.175,0.36,0.3309,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:02 UTC 2014,48.175,0.36,0.3303,3.0,EventProcessingServiceUnit_scaleIn,
Tue Feb 18 09:47:07 UTC 2014,46.825,0.36,0.3298,3.0,EventProcessingServiceUnit_scaleIn,
