Time ,cpuUsage ,cost ,latency ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:39:41 UTC 2014,69.2,0.12,0.2785,1.0,,
Tue Feb 18 09:39:47 UTC 2014,69.2,0.12,0.2785,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:56 UTC 2014,0.12,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:03 UTC 2014,59.7,0.12,0.2779,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:12 UTC 2014,59.7,0.12,0.2779,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:21 UTC 2014,59.7,0.12,0.2779,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:30 UTC 2014,72.6,0.12,0.2772,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:39 UTC 2014,72.6,0.12,0.2772,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:48 UTC 2014,77.5,0.12,0.2769,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:40:56 UTC 2014,77.5,0.24,0.2769,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:01 UTC 2014,77.5,0.24,0.2769,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:06 UTC 2014,63.5,0.24,0.2763,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:12 UTC 2014,63.5,0.24,0.2763,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:17 UTC 2014,63.5,0.24,0.2763,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:22 UTC 2014,63.5,0.24,0.2763,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:27 UTC 2014,74.1,0.24,0.2756,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:32 UTC 2014,74.1,0.24,0.2756,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:37 UTC 2014,77.85,0.24,0.1378,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:42 UTC 2014,77.85,0.24,0.1378,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:47 UTC 2014,77.85,0.24,0.1378,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:52 UTC 2014,77.85,0.24,0.1378,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:57 UTC 2014,77.85,0.24,0.1378,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:03 UTC 2014,71.75,0.24,0.1376,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:08 UTC 2014,71.75,0.24,0.1376,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:13 UTC 2014,71.75,0.24,0.1376,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:18 UTC 2014,73.6,0.24,0.4133,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:23 UTC 2014,73.6,0.24,0.4133,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:28 UTC 2014,73.6,0.24,0.4133,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:33 UTC 2014,71.95,0.24,0.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:38 UTC 2014,71.95,0.24,0.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:43 UTC 2014,71.95,0.24,0.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:48 UTC 2014,71.95,0.24,0.0,2.0,DataNodeServiceUnit_scaleOut,
