Time ,cost ,responseTime ,throughput ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:39:41 UTC 2014,0.24,0.0,0.0,0.0,2.0,,
Tue Feb 18 09:39:47 UTC 2014,0.24,0.0,0.0,0.0,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:57 UTC 2014,0.24,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:04 UTC 2014,0.24,7.0,122.0,135.0,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:14 UTC 2014,0.24,9.0,140.0,25.0,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:24 UTC 2014,0.24,5.0,78.0,50.0,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:35 UTC 2014,0.24,6.0,126.0,50.0,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:45 UTC 2014,0.24,8.0,111.0,245.0,2.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:55 UTC 2014,0.24,7.0,156.0,245.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:00 UTC 2014,0.24,7.0,156.0,245.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:05 UTC 2014,0.24,7.0,126.0,48.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:10 UTC 2014,0.24,7.0,126.0,48.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:15 UTC 2014,0.24,7.0,126.0,48.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:20 UTC 2014,0.24,7.0,120.0,39.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:25 UTC 2014,0.24,6.0,147.0,195.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:30 UTC 2014,0.24,6.0,147.0,195.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:35 UTC 2014,0.24,4.0,113.0,260.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:40 UTC 2014,0.24,4.0,113.0,260.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:45 UTC 2014,0.24,6.0,139.0,260.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:50 UTC 2014,0.24,6.0,139.0,260.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:55 UTC 2014,0.24,6.0,139.0,260.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:01 UTC 2014,0.24,11.0,86.0,185.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:06 UTC 2014,0.24,11.0,86.0,185.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:11 UTC 2014,0.24,11.0,86.0,185.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:16 UTC 2014,0.24,13.0,70.0,0.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:21 UTC 2014,0.24,13.0,70.0,0.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:26 UTC 2014,0.24,13.0,70.0,0.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:31 UTC 2014,0.24,10.0,98.0,10.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:36 UTC 2014,0.24,10.0,98.0,10.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:41 UTC 2014,0.24,10.0,104.0,53.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:46 UTC 2014,0.24,10.0,104.0,53.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:51 UTC 2014,0.24,10.0,104.0,53.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:56 UTC 2014,0.24,13.0,73.0,301.0,2.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:43:01 UTC 2014,0.24,13.0,73.0,301.0,2.0,DataNodeServiceUnit_scaleOut,
