Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:39:39 UTC 2014,0.12,0.0,1.0,,
Tue Feb 18 09:39:45 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:39:53 UTC 2014,0.12,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:00 UTC 2014,0.12,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:07 UTC 2014,0.12,135.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:15 UTC 2014,0.12,25.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:23 UTC 2014,0.12,50.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:32 UTC 2014,0.12,50.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:40 UTC 2014,0.12,50.0,1.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:40:48 UTC 2014,0.12,245.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:40:56 UTC 2014,0.12,245.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:01 UTC 2014,0.12,245.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:06 UTC 2014,0.12,48.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:11 UTC 2014,0.12,48.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:16 UTC 2014,0.12,39.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:21 UTC 2014,0.12,39.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:27 UTC 2014,0.12,195.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:32 UTC 2014,0.12,195.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:37 UTC 2014,0.12,260.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:42 UTC 2014,0.12,260.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:47 UTC 2014,0.12,260.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:52 UTC 2014,0.12,260.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:41:57 UTC 2014,0.12,260.0,1.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:42:02 UTC 2014,0.12,185.0,1.0,DataNodeServiceUnit_scaleOut,
