Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 10:56:37 UTC 2014,0.12,1.0,,
Thu Feb 20 10:56:42 UTC 2014,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:49 UTC 2014,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:56 UTC 2014,90.5,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:05 UTC 2014,92.0921,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:13 UTC 2014,92.0921,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:21 UTC 2014,90.1198,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:29 UTC 2014,97.2,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:35 UTC 2014,97.2,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:40 UTC 2014,97.2,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:45 UTC 2014,86.245,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:50 UTC 2014,86.245,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:55 UTC 2014,86.245,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:01 UTC 2014,91.0,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:06 UTC 2014,91.0,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:11 UTC 2014,95.2048,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:16 UTC 2014,95.2048,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:21 UTC 2014,95.992,0.24,2.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:29 UTC 2014,95.992,0.24,2.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:37 UTC 2014,97.3922,0.24,2.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:45 UTC 2014,97.3922,0.24,2.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:53 UTC 2014,86.8606,0.24,2.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:01 UTC 2014,84.7236,0.24,2.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:09 UTC 2014,84.7236,0.24,2.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:18 UTC 2014,97.8958,0.24,2.0,AppServer_scaleOut,
Thu Feb 20 10:59:23 UTC 2014,97.8958,0.24,2.0,AppServer_scaleOut,
Thu Feb 20 10:59:28 UTC 2014,94.5892,0.24,2.0,AppServer_scaleOut,
Thu Feb 20 10:59:33 UTC 2014,94.5892,0.24,2.0,AppServer_scaleOut,
Thu Feb 20 10:59:38 UTC 2014,94.5892,0.24,2.0,AppServer_scaleOut,
Thu Feb 20 10:59:43 UTC 2014,95.2906,0.24,2.0,AppServer_scaleOut,
Thu Feb 20 10:59:48 UTC 2014,95.2906,0.24,2.0,AppServer_scaleOut,
