Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:32 UTC 2014,0.12,1.0,,
Thu Feb 20 12:17:37 UTC 2014,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:45 UTC 2014,3.0395,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:53 UTC 2014,3.0395,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:01 UTC 2014,3.3333,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:09 UTC 2014,3.2421,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:18 UTC 2014,3.3537,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:26 UTC 2014,3.3537,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:34 UTC 2014,3.4588,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:40 UTC 2014,3.4588,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:45 UTC 2014,3.3435,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:50 UTC 2014,3.3435,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:55 UTC 2014,2.9502,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:00 UTC 2014,2.9502,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:05 UTC 2014,2.5329,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:11 UTC 2014,2.5329,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:16 UTC 2014,2.5329,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:21 UTC 2014,2.7607,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:26 UTC 2014,4.0404,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:31 UTC 2014,4.0404,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:36 UTC 2014,4.0404,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:41 UTC 2014,4.1414,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:46 UTC 2014,4.1414,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:52 UTC 2014,2.7439,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:57 UTC 2014,2.7439,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:02 UTC 2014,3.1504,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:07 UTC 2014,3.1504,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:12 UTC 2014,3.1504,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:18 UTC 2014,2.5355,0.24,2.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:23 UTC 2014,2.5355,0.24,2.0,CassandraNode_scaleOut,
