Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 09:56:09 UTC 2014,0.12,1.0,,
Fri Feb 21 09:56:14 UTC 2014,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:20 UTC 2014,12.3337,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:25 UTC 2014,12.7769,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:30 UTC 2014,12.7769,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:35 UTC 2014,12.7769,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:41 UTC 2014,12.7769,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:46 UTC 2014,12.7769,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:51 UTC 2014,16.5049,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:56 UTC 2014,16.5049,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:01 UTC 2014,16.5049,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:06 UTC 2014,16.5049,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:11 UTC 2014,16.5049,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:16 UTC 2014,16.5049,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:22 UTC 2014,16.7513,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:27 UTC 2014,16.7513,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:32 UTC 2014,16.7513,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:37 UTC 2014,16.7513,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:42 UTC 2014,21.8099,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:47 UTC 2014,21.8099,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:52 UTC 2014,21.8099,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:57 UTC 2014,21.8099,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:02 UTC 2014,21.8099,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:08 UTC 2014,21.8099,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:13 UTC 2014,14.8469,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:18 UTC 2014,14.8469,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:23 UTC 2014,14.8469,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:28 UTC 2014,14.8469,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:33 UTC 2014,14.8469,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:38 UTC 2014,15.3412,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:43 UTC 2014,15.3412,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:48 UTC 2014,15.3412,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:53 UTC 2014,15.3412,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:59 UTC 2014,19.7853,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:04 UTC 2014,19.7853,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:09 UTC 2014,19.7853,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:14 UTC 2014,19.7853,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:19 UTC 2014,19.7853,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:24 UTC 2014,19.7853,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:29 UTC 2014,13.944,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:34 UTC 2014,13.944,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:39 UTC 2014,13.944,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:44 UTC 2014,13.944,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:49 UTC 2014,13.944,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:54 UTC 2014,13.944,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:00 UTC 2014,10.6361,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:05 UTC 2014,10.6361,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:11 UTC 2014,10.6361,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:16 UTC 2014,10.6361,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:21 UTC 2014,10.6361,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:26 UTC 2014,10.6361,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:32 UTC 2014,8.2904,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:37 UTC 2014,8.2904,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:42 UTC 2014,8.2904,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:47 UTC 2014,8.2904,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:52 UTC 2014,8.2904,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:57 UTC 2014,8.2904,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:02 UTC 2014,16.4157,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:07 UTC 2014,16.4157,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:12 UTC 2014,16.4157,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:17 UTC 2014,16.4157,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:22 UTC 2014,16.4157,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:27 UTC 2014,16.4157,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:32 UTC 2014,12.5758,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:37 UTC 2014,12.5758,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:43 UTC 2014,12.5758,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:48 UTC 2014,12.5758,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:53 UTC 2014,12.5758,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:58 UTC 2014,12.5758,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:03 UTC 2014,12.2522,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:08 UTC 2014,12.2522,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:13 UTC 2014,12.2522,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:18 UTC 2014,12.2522,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:23 UTC 2014,12.2522,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:28 UTC 2014,11.0442,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:33 UTC 2014,11.0442,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:38 UTC 2014,11.0442,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:43 UTC 2014,11.0442,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:48 UTC 2014,9.8019,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:54 UTC 2014,9.8019,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:59 UTC 2014,9.8019,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:04 UTC 2014,9.8019,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:09 UTC 2014,9.8019,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:14 UTC 2014,9.8019,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:19 UTC 2014,9.8019,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:24 UTC 2014,9.3212,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:29 UTC 2014,9.3212,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:34 UTC 2014,9.3212,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:40 UTC 2014,9.3212,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:45 UTC 2014,9.3212,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:50 UTC 2014,23.5854,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:55 UTC 2014,23.5854,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 10:04:00 UTC 2014,23.5854,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:08 UTC 2014,8.6758,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:16 UTC 2014,8.6758,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:24 UTC 2014,8.6758,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:32 UTC 2014,8.6758,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:41 UTC 2014,25.2515,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:49 UTC 2014,25.2515,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:57 UTC 2014,25.2515,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:05:05 UTC 2014,25.2515,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:10 UTC 2014,20.4133,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:15 UTC 2014,20.4133,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:20 UTC 2014,20.4133,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:25 UTC 2014,20.4133,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:30 UTC 2014,20.4133,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:35 UTC 2014,20.4133,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:40 UTC 2014,21.5461,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:46 UTC 2014,21.5461,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:51 UTC 2014,21.5461,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:56 UTC 2014,21.5461,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:01 UTC 2014,21.5461,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:06 UTC 2014,21.5461,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:11 UTC 2014,25.2874,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:16 UTC 2014,25.2874,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:21 UTC 2014,25.2874,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:26 UTC 2014,25.2874,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:31 UTC 2014,24.8248,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:36 UTC 2014,24.8248,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:41 UTC 2014,24.8248,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:46 UTC 2014,24.8248,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:52 UTC 2014,24.8248,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:57 UTC 2014,19.3985,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:02 UTC 2014,19.3985,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:07 UTC 2014,19.3985,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:12 UTC 2014,19.3985,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:17 UTC 2014,19.3985,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:22 UTC 2014,19.3985,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:27 UTC 2014,9.6992,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:32 UTC 2014,58.8633,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:37 UTC 2014,58.8633,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:42 UTC 2014,58.8633,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:47 UTC 2014,58.8633,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:52 UTC 2014,58.8633,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:57 UTC 2014,58.8633,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:02 UTC 2014,44.0682,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:08 UTC 2014,47.367,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:13 UTC 2014,47.367,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:18 UTC 2014,47.367,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:23 UTC 2014,47.367,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:28 UTC 2014,51.3054,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:33 UTC 2014,51.3054,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:38 UTC 2014,51.3054,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:43 UTC 2014,51.3054,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:48 UTC 2014,53.1032,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:08:53 UTC 2014,53.1032,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:08:58 UTC 2014,56.1448,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:03 UTC 2014,56.1448,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:08 UTC 2014,56.1448,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:13 UTC 2014,56.1448,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:18 UTC 2014,56.4799,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:24 UTC 2014,56.4799,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:29 UTC 2014,46.0773,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:34 UTC 2014,46.0773,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:39 UTC 2014,46.0773,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:44 UTC 2014,46.0773,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:49 UTC 2014,40.045,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:54 UTC 2014,40.045,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:09:59 UTC 2014,50.5154,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:04 UTC 2014,50.5154,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:09 UTC 2014,50.5154,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:14 UTC 2014,50.5154,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:19 UTC 2014,54.4191,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:24 UTC 2014,54.4191,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:29 UTC 2014,34.6003,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:35 UTC 2014,34.6003,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:40 UTC 2014,31.4224,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:45 UTC 2014,31.4224,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:50 UTC 2014,31.4224,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:10:55 UTC 2014,30.6189,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:00 UTC 2014,33.1902,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:05 UTC 2014,33.1902,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:10 UTC 2014,33.1902,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:15 UTC 2014,33.1902,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:20 UTC 2014,33.1902,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:25 UTC 2014,40.5179,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:30 UTC 2014,40.5193,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:11:36 UTC 2014,40.5193,0.24,2.0,AppServer_scaleIn,
