Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 10:56:37 UTC 2014,0.12,1.0,,
Thu Feb 20 10:56:42 UTC 2014,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:49 UTC 2014,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:56:56 UTC 2014,56.004,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:04 UTC 2014,49.0946,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:12 UTC 2014,54.8485,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:20 UTC 2014,54.8485,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 10:57:29 UTC 2014,54.8485,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:36 UTC 2014,43.1313,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:41 UTC 2014,43.1313,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:46 UTC 2014,69.0836,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:51 UTC 2014,69.0836,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:57:56 UTC 2014,66.8342,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:01 UTC 2014,66.8342,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:06 UTC 2014,59.9401,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:11 UTC 2014,59.9401,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:16 UTC 2014,48.5859,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 10:58:21 UTC 2014,48.5859,0.12,1.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:29 UTC 2014,48.5859,0.12,1.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:37 UTC 2014,51.0081,0.12,1.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:46 UTC 2014,40.8907,0.12,1.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:58:54 UTC 2014,60.2603,0.12,1.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:02 UTC 2014,66.0302,0.12,1.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:10 UTC 2014,66.0302,0.12,1.0,AppServer_scaleOut,AppServer
Thu Feb 20 10:59:18 UTC 2014,51.8109,0.12,1.0,AppServer_scaleOut,
Thu Feb 20 10:59:23 UTC 2014,51.8109,0.12,1.0,AppServer_scaleOut,
Thu Feb 20 10:59:28 UTC 2014,51.8109,0.12,1.0,AppServer_scaleOut,
Thu Feb 20 10:59:33 UTC 2014,51.5121,0.12,1.0,AppServer_scaleOut,
Thu Feb 20 10:59:38 UTC 2014,51.5121,0.12,1.0,AppServer_scaleOut,
Thu Feb 20 10:59:43 UTC 2014,73.1732,0.12,1.0,AppServer_scaleOut,
Thu Feb 20 10:59:48 UTC 2014,73.1732,0.12,1.0,AppServer_scaleOut,
