Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:32 UTC 2014,0.12,1.0,,
Thu Feb 20 12:17:37 UTC 2014,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:44 UTC 2014,8.2329,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:53 UTC 2014,8.8176,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:01 UTC 2014,8.8176,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:09 UTC 2014,9.0278,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:17 UTC 2014,9.217,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:25 UTC 2014,9.217,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:34 UTC 2014,7.7079,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:40 UTC 2014,7.7079,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:45 UTC 2014,8.5085,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:50 UTC 2014,8.5085,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:55 UTC 2014,8.3501,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:00 UTC 2014,8.3501,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:05 UTC 2014,8.3501,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:10 UTC 2014,8.3749,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:15 UTC 2014,8.3749,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:21 UTC 2014,9.8814,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:26 UTC 2014,9.8814,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:31 UTC 2014,8.1984,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:36 UTC 2014,8.1984,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:41 UTC 2014,6.802,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:46 UTC 2014,6.802,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:51 UTC 2014,6.6869,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:57 UTC 2014,6.6869,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:02 UTC 2014,6.6869,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:07 UTC 2014,7.6613,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:12 UTC 2014,7.6613,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:17 UTC 2014,7.2435,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:22 UTC 2014,7.2435,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:27 UTC 2014,7.2435,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:32 UTC 2014,7.5377,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:37 UTC 2014,7.5377,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:42 UTC 2014,7.2654,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:47 UTC 2014,7.2654,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:52 UTC 2014,8.9268,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:57 UTC 2014,8.9268,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:03 UTC 2014,8.9268,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:08 UTC 2014,16.9028,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:13 UTC 2014,16.9028,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:18 UTC 2014,8.9089,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:23 UTC 2014,8.9089,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:28 UTC 2014,8.9089,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:33 UTC 2014,7.7935,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:38 UTC 2014,7.7935,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:43 UTC 2014,8.4422,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:48 UTC 2014,8.4422,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:53 UTC 2014,8.2234,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:58 UTC 2014,8.2234,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:03 UTC 2014,8.2234,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:08 UTC 2014,19.2578,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:14 UTC 2014,19.2578,0.12,1.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:19 UTC 2014,8.4763,0.12,1.0,CassandraNode_scaleOut,
