Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 09:56:10 UTC 2014,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:16 UTC 2014,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:21 UTC 2014,41.98,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:27 UTC 2014,38.1829,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:32 UTC 2014,38.1829,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:37 UTC 2014,37.5336,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:42 UTC 2014,42.3547,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:47 UTC 2014,42.6307,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:53 UTC 2014,41.1039,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:58 UTC 2014,41.1039,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:03 UTC 2014,41.1527,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:08 UTC 2014,40.5659,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:13 UTC 2014,40.2826,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:18 UTC 2014,39.7211,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:23 UTC 2014,40.0055,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:28 UTC 2014,47.6072,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:34 UTC 2014,47.6072,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:39 UTC 2014,48.8719,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:44 UTC 2014,47.022,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:49 UTC 2014,47.2008,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:54 UTC 2014,47.1758,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:59 UTC 2014,44.2837,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:04 UTC 2014,43.7325,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:09 UTC 2014,45.2655,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:14 UTC 2014,45.9666,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:19 UTC 2014,45.9666,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:25 UTC 2014,39.6186,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:30 UTC 2014,39.6186,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:35 UTC 2014,39.6685,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:40 UTC 2014,40.1208,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:45 UTC 2014,40.1208,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:50 UTC 2014,45.4419,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:55 UTC 2014,45.4419,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:00 UTC 2014,46.553,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:05 UTC 2014,41.7774,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:10 UTC 2014,41.7774,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:15 UTC 2014,41.1508,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:20 UTC 2014,42.8272,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:26 UTC 2014,43.4299,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:31 UTC 2014,38.7416,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:36 UTC 2014,38.7667,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:41 UTC 2014,38.7635,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:46 UTC 2014,42.0049,0.48,4.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:51 UTC 2014,42.059,0.48,4.0,CassandraNode_scaleIn,
