cpuUsage, cost   , numberOfVMs   
56.42673333333333,1.08,9.0
59.643366666666665,1.08,9.0
60.347966666666665,1.08,9.0
57.64746666666666,1.08,9.0
56.6502,1.1400000000000001,9.0
56.2335,1.2,9.0
58.528400000000005,1.2,9.5
57.196200000000005,1.2,10.0
57.63889999999999,1.2,10.0
59.1943,1.2,10.0
58.6401,1.2,10.0
58.53863333333334,1.2,10.0
57.8103,1.2,10.0
57.371966666666665,1.2,10.0
56.1608,1.2,10.0
56.24013333333333,1.2,10.0
56.521766666666664,1.2,10.0
58.199099999999994,1.2,10.0
58.90976666666666,1.2,10.0
58.901466666666664,1.2,10.0
