Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:23:56 UTC 2014,73.5027,0.48,4,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:04 UTC 2014,0.48,4,4,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:12 UTC 2014,0.48,4,4,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:19 UTC 2014,68.798,0.48,4,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:28 UTC 2014,66.0547,0.48,4,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:36 UTC 2014,70.7342,0.48,4,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:45 UTC 2014,69.6318,0.48,4,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:53 UTC 2014,66.8974,0.6,5,,
Thu Feb 20 13:24:59 UTC 2014,66.8974,0.6,5,,
Thu Feb 20 13:25:04 UTC 2014,73.2528,0.6,5,,
Thu Feb 20 13:25:09 UTC 2014,73.2528,0.6,5,,
Thu Feb 20 13:25:15 UTC 2014,73.2528,0.6,5,,
Thu Feb 20 13:25:21 UTC 2014,69.6659,0.6,5,,
Thu Feb 20 13:25:26 UTC 2014,69.6659,0.6,5,,
Thu Feb 20 13:25:32 UTC 2014,70.7093,0.6,5,,
Thu Feb 20 13:25:37 UTC 2014,67.2566,0.6,5,,
Thu Feb 20 13:25:43 UTC 2014,67.2566,0.6,5,,
Thu Feb 20 13:25:48 UTC 2014,64.2804,0.6,5,,
Thu Feb 20 13:25:53 UTC 2014,64.2804,0.6,5,,
Thu Feb 20 13:26:00 UTC 2014,63.741,0.6,5,,
Thu Feb 20 13:26:06 UTC 2014,64.1527,0.6,5,,
Thu Feb 20 13:26:11 UTC 2014,72.5708,0.6,5,,
Thu Feb 20 13:26:17 UTC 2014,72.5708,0.6,5,,
Thu Feb 20 13:26:22 UTC 2014,73.5007,0.6,5,,
Thu Feb 20 13:26:27 UTC 2014,71.8676,0.6,5,,
Thu Feb 20 13:26:33 UTC 2014,75.3078,0.6,5,,
Thu Feb 20 13:26:38 UTC 2014,75.7118,0.6,5,,
Thu Feb 20 13:26:44 UTC 2014,80.832,0.6,5,,
Thu Feb 20 13:26:49 UTC 2014,80.832,0.6,5,,
Thu Feb 20 13:26:54 UTC 2014,80.832,0.6,5,,
Thu Feb 20 13:27:00 UTC 2014,80.832,0.6,5,,
Thu Feb 20 13:27:05 UTC 2014,81.796,0.6,5,,
Thu Feb 20 13:27:10 UTC 2014,79.86,0.6,5,,
Thu Feb 20 13:27:16 UTC 2014,79.86,0.6,5,,
Thu Feb 20 13:27:21 UTC 2014,72.9457,0.6,5,,
Thu Feb 20 13:27:27 UTC 2014,71.3126,0.6,5,,
Thu Feb 20 13:27:32 UTC 2014,71.3126,0.6,5,,
Thu Feb 20 13:27:37 UTC 2014,71.3508,0.6,5,,
Thu Feb 20 13:27:43 UTC 2014,71.3508,0.6,5,,
Thu Feb 20 13:27:49 UTC 2014,76.243,0.6,5,,
Thu Feb 20 13:27:54 UTC 2014,76.243,0.6,5,,
Thu Feb 20 13:28:00 UTC 2014,76.243,0.6,5,,
Thu Feb 20 13:28:05 UTC 2014,67.1527,0.6,5,,
Thu Feb 20 13:28:10 UTC 2014,67.807,0.6,5,,
Thu Feb 20 13:28:16 UTC 2014,67.807,0.6,5,,
Thu Feb 20 13:28:21 UTC 2014,68.6348,0.6,5,,
Thu Feb 20 13:28:27 UTC 2014,68.6348,0.6,5,,
Thu Feb 20 13:28:32 UTC 2014,68.6348,0.6,5,,
Thu Feb 20 13:28:38 UTC 2014,69.2808,0.6,5,,
Thu Feb 20 13:28:43 UTC 2014,69.2808,0.6,5,,
Thu Feb 20 13:28:48 UTC 2014,71.3162,0.6,5,,
Thu Feb 20 13:28:54 UTC 2014,71.3162,0.6,5,,
Thu Feb 20 13:28:59 UTC 2014,70.9987,0.6,5,,
Thu Feb 20 13:29:05 UTC 2014,70.9987,0.6,5,,
Thu Feb 20 13:29:10 UTC 2014,67.55,0.6,5,,
Thu Feb 20 13:29:16 UTC 2014,67.0795,0.6,5,,
Thu Feb 20 13:29:21 UTC 2014,67.0795,0.6,5,,
Thu Feb 20 13:29:26 UTC 2014,63.3096,0.6,5,,
Thu Feb 20 13:29:32 UTC 2014,63.3096,0.6,5,,
Thu Feb 20 13:29:37 UTC 2014,64.3654,0.6,5,,
Thu Feb 20 13:29:43 UTC 2014,68.6446,0.6,5,,
Thu Feb 20 13:29:48 UTC 2014,68.6446,0.6,5,,
Thu Feb 20 13:29:54 UTC 2014,69.9657,0.6,5,,
Thu Feb 20 13:29:59 UTC 2014,67.3635,0.6,5,,
Thu Feb 20 13:30:05 UTC 2014,72.1404,0.6,5,,
Thu Feb 20 13:30:10 UTC 2014,72.1404,0.6,5,,
Thu Feb 20 13:30:15 UTC 2014,70.916,0.6,5,,
Thu Feb 20 13:30:21 UTC 2014,70.916,0.6,5,,
Thu Feb 20 13:30:26 UTC 2014,69.4249,0.6,5,,
Thu Feb 20 13:30:32 UTC 2014,69.4249,0.6,5,,
Thu Feb 20 13:30:37 UTC 2014,67.1711,0.6,5,,
Thu Feb 20 13:30:43 UTC 2014,68.0801,0.6,5,,
Thu Feb 20 13:30:48 UTC 2014,68.0801,0.6,5,,
Thu Feb 20 13:30:54 UTC 2014,64.6984,0.6,5,,
Thu Feb 20 13:30:59 UTC 2014,64.6984,0.6,5,,
Thu Feb 20 13:31:05 UTC 2014,60.9689,0.6,5,,
Thu Feb 20 13:31:10 UTC 2014,65.6685,0.6,5,,
Thu Feb 20 13:31:15 UTC 2014,65.6685,0.6,5,,
Thu Feb 20 13:31:21 UTC 2014,68.5657,0.6,5,,
Thu Feb 20 13:31:26 UTC 2014,68.5657,0.6,5,,
Thu Feb 20 13:31:31 UTC 2014,62.491,0.6,5,,
