Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:23:55 UTC 2014,75.3479,0.12,1,,
Thu Feb 20 13:24:00 UTC 2014,75.3479,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:09 UTC 2014,0.12,1,,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:16 UTC 2014,78.408,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:25 UTC 2014,63.6454,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:33 UTC 2014,63.6454,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:42 UTC 2014,77.0378,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:51 UTC 2014,80.9713,0.12,1,,
Thu Feb 20 13:24:56 UTC 2014,80.9713,0.12,1,,
Thu Feb 20 13:25:02 UTC 2014,86.6,0.12,1,,
Thu Feb 20 13:25:07 UTC 2014,86.6,0.12,1,,
Thu Feb 20 13:25:13 UTC 2014,86.6,0.12,1,,
Thu Feb 20 13:25:18 UTC 2014,86.9131,0.12,1,,
Thu Feb 20 13:25:24 UTC 2014,86.9131,0.12,1,,
Thu Feb 20 13:25:29 UTC 2014,89,0.12,1,,
Thu Feb 20 13:25:35 UTC 2014,89,0.12,1,,
Thu Feb 20 13:25:41 UTC 2014,89,0.12,1,,
Thu Feb 20 13:25:46 UTC 2014,81.8365,0.12,1,,
Thu Feb 20 13:25:52 UTC 2014,81.8365,0.12,1,,
Thu Feb 20 13:25:57 UTC 2014,80.7577,0.12,1,,
Thu Feb 20 13:26:03 UTC 2014,74.8515,0.12,1,,
Thu Feb 20 13:26:08 UTC 2014,74.8515,0.12,1,,
Thu Feb 20 13:26:14 UTC 2014,74.8515,0.12,1,,
Thu Feb 20 13:26:19 UTC 2014,74.8515,0.12,1,,
Thu Feb 20 13:26:25 UTC 2014,71.5852,0.12,1,,
Thu Feb 20 13:26:31 UTC 2014,71.5852,0.12,1,,
Thu Feb 20 13:26:36 UTC 2014,71.5852,0.12,1,,
Thu Feb 20 13:26:41 UTC 2014,72.3932,0.12,1,,
Thu Feb 20 13:26:47 UTC 2014,78.4646,0.12,1,,
Thu Feb 20 13:26:52 UTC 2014,78.4646,0.12,1,,
Thu Feb 20 13:26:58 UTC 2014,78.4646,0.12,1,,
Thu Feb 20 13:27:03 UTC 2014,85.9719,0.12,1,,
Thu Feb 20 13:27:08 UTC 2014,85.9719,0.12,1,,
Thu Feb 20 13:27:14 UTC 2014,85.9719,0.12,1,,
Thu Feb 20 13:27:19 UTC 2014,84.7848,0.12,1,,
Thu Feb 20 13:27:24 UTC 2014,84.7848,0.12,1,,
Thu Feb 20 13:27:30 UTC 2014,85.7143,0.12,1,,
Thu Feb 20 13:27:35 UTC 2014,85.7143,0.12,1,,
Thu Feb 20 13:27:41 UTC 2014,85.7143,0.12,1,,
Thu Feb 20 13:27:47 UTC 2014,85.8142,0.12,1,,
Thu Feb 20 13:27:52 UTC 2014,85.8142,0.12,1,,
Thu Feb 20 13:27:57 UTC 2014,85.8142,0.12,1,,
Thu Feb 20 13:28:03 UTC 2014,76.4471,0.12,1,,
