Time ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:23:56 UTC 2014,53.5502,6,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:03 UTC 2014,-1,6,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:11 UTC 2014,6,6,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:17 UTC 2014,50.2722,6,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:26 UTC 2014,48.8754,6,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:33 UTC 2014,46.3299,6,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:41 UTC 2014,51.5099,6,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:48 UTC 2014,50.9587,6,,
Thu Feb 20 13:24:54 UTC 2014,48.5135,7,,
Thu Feb 20 13:25:00 UTC 2014,48.5135,7,,
Thu Feb 20 13:25:05 UTC 2014,48.5215,7,,
Thu Feb 20 13:25:11 UTC 2014,48.5215,7,,
Thu Feb 20 13:25:16 UTC 2014,48.5215,7,,
Thu Feb 20 13:25:22 UTC 2014,43.5139,7,,
Thu Feb 20 13:25:28 UTC 2014,44.9688,7,,
Thu Feb 20 13:25:33 UTC 2014,44.9688,7,,
Thu Feb 20 13:25:39 UTC 2014,43.5152,7,,
Thu Feb 20 13:25:44 UTC 2014,42.0271,7,,
Thu Feb 20 13:25:49 UTC 2014,42.0271,7,,
Thu Feb 20 13:25:55 UTC 2014,42.1754,7,,
Thu Feb 20 13:26:01 UTC 2014,41.9057,7,,
Thu Feb 20 13:26:06 UTC 2014,40.9923,7,,
Thu Feb 20 13:26:13 UTC 2014,45.3994,7,,
Thu Feb 20 13:26:18 UTC 2014,45.8644,7,,
Thu Feb 20 13:26:24 UTC 2014,45.8644,7,,
Thu Feb 20 13:26:29 UTC 2014,45.0479,7,,
Thu Feb 20 13:26:34 UTC 2014,49.3726,7,,
Thu Feb 20 13:26:40 UTC 2014,45.2468,7,,
Thu Feb 20 13:26:45 UTC 2014,47.8068,7,,
Thu Feb 20 13:26:50 UTC 2014,47.8068,7,,
Thu Feb 20 13:26:56 UTC 2014,52.208,7,,
Thu Feb 20 13:27:02 UTC 2014,50.4957,7,,
Thu Feb 20 13:27:07 UTC 2014,50.4957,7,,
Thu Feb 20 13:27:13 UTC 2014,49.5278,7,,
Thu Feb 20 13:27:18 UTC 2014,48.6075,7,,
Thu Feb 20 13:27:23 UTC 2014,48.6075,7,,
Thu Feb 20 13:27:29 UTC 2014,47.7409,7,,
Thu Feb 20 13:27:34 UTC 2014,48.4641,7,,
Thu Feb 20 13:27:40 UTC 2014,48.4641,7,,
Thu Feb 20 13:27:45 UTC 2014,50.3679,7,,
Thu Feb 20 13:27:50 UTC 2014,50.3679,7,,
Thu Feb 20 13:27:56 UTC 2014,51.2369,7,,
Thu Feb 20 13:28:01 UTC 2014,51.2369,7,,
Thu Feb 20 13:28:06 UTC 2014,48.1183,7,,
Thu Feb 20 13:28:12 UTC 2014,48.409,7,,
