Time ,memUsage ,cpuUsage ,cost ,requestThroughput ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:23:55 UTC 2014,9.9741,33.5976,0.24,0.5667,2,,
Thu Feb 20 13:24:01 UTC 2014,9.9741,33.5976,0.24,-1,2,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:11 UTC 2014,9.9681,33.5976,0.24,0.7,2,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:19 UTC 2014,9.9681,31.7463,0.24,0.7,2,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:29 UTC 2014,9.9681,25.7437,0.24,0.7,2,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:40 UTC 2014,9.9741,32.2856,0.24,0.8333,2,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:50 UTC 2014,9.9741,30.1295,0.24,0.8333,2,,
Thu Feb 20 13:24:56 UTC 2014,9.9741,30.1295,0.24,0.8333,2,,
Thu Feb 20 13:25:01 UTC 2014,9.9741,23.7903,0.24,0.8333,2,,
Thu Feb 20 13:25:07 UTC 2014,9.9681,23.7903,0.24,0.8333,2,,
Thu Feb 20 13:25:12 UTC 2014,9.9681,23.7903,0.24,0.8333,2,,
Thu Feb 20 13:25:18 UTC 2014,9.9681,17.3618,0.24,0.6333,2,,
Thu Feb 20 13:25:23 UTC 2014,9.9681,17.3618,0.24,0.6333,2,,
Thu Feb 20 13:25:29 UTC 2014,9.9681,19.2282,0.24,0.6333,2,,
Thu Feb 20 13:25:35 UTC 2014,9.9681,19.2282,0.24,0.6333,2,,
Thu Feb 20 13:25:40 UTC 2014,9.9741,19.7738,0.24,0.7,2,,
Thu Feb 20 13:25:46 UTC 2014,9.9741,19.7738,0.24,0.7,2,,
Thu Feb 20 13:25:51 UTC 2014,9.9741,20.0703,0.24,0.7,2,,
Thu Feb 20 13:25:56 UTC 2014,9.9741,20.0703,0.24,0.7,2,,
Thu Feb 20 13:26:02 UTC 2014,9.9741,20.0703,0.24,0.7,2,,
Thu Feb 20 13:26:07 UTC 2014,9.9681,17.8318,0.24,0.7,2,,
Thu Feb 20 13:26:13 UTC 2014,9.9681,18.2281,0.24,0.7,2,,
Thu Feb 20 13:26:19 UTC 2014,9.9681,18.2281,0.24,0.7,2,,
Thu Feb 20 13:26:25 UTC 2014,9.9681,18.2281,0.24,0.7,2,,
Thu Feb 20 13:26:30 UTC 2014,9.9681,18.2281,0.24,0.7,2,,
Thu Feb 20 13:26:35 UTC 2014,9.9681,23.4375,0.24,0.7,2,,
Thu Feb 20 13:26:41 UTC 2014,9.9741,14.7817,0.24,0.9,2,,
Thu Feb 20 13:26:46 UTC 2014,9.9741,14.7817,0.24,0.9,2,,
Thu Feb 20 13:26:51 UTC 2014,9.9741,14.7817,0.24,0.9,2,,
Thu Feb 20 13:26:57 UTC 2014,9.9741,23.5841,0.24,0.9,2,,
Thu Feb 20 13:27:02 UTC 2014,9.9741,19.1955,0.24,0.9,2,,
Thu Feb 20 13:27:08 UTC 2014,9.9741,19.1955,0.24,0.9,2,,
Thu Feb 20 13:27:13 UTC 2014,9.9741,19.1955,0.24,0.9,2,,
Thu Feb 20 13:27:18 UTC 2014,9.9741,24.2692,0.24,0.8,2,,
Thu Feb 20 13:27:24 UTC 2014,9.9741,24.2692,0.24,0.8,2,,
Thu Feb 20 13:27:29 UTC 2014,9.9681,24.1692,0.24,0.8,2,,
Thu Feb 20 13:27:35 UTC 2014,9.9741,25.5775,0.24,0.8,2,,
Thu Feb 20 13:27:40 UTC 2014,9.9741,25.5775,0.24,0.8,2,,
Thu Feb 20 13:27:46 UTC 2014,9.9741,24.4928,0.24,0.9333,2,,
Thu Feb 20 13:27:51 UTC 2014,9.9741,24.4928,0.24,0.9333,2,,
Thu Feb 20 13:27:57 UTC 2014,9.9741,26.2309,0.24,0.9333,2,,
Thu Feb 20 13:28:02 UTC 2014,9.9741,29.0839,0.24,0.9333,2,,
Thu Feb 20 13:28:08 UTC 2014,9.9741,29.0839,0.24,0.9333,2,,
Thu Feb 20 13:28:13 UTC 2014,9.9718,29.0111,0.24,0.8,2,,
Thu Feb 20 13:28:18 UTC 2014,9.9658,29.0111,0.24,0.8,2,,
Thu Feb 20 13:28:24 UTC 2014,9.9658,29.0111,0.24,0.8,2,,
Thu Feb 20 13:28:30 UTC 2014,9.9658,29.0111,0.24,0.8,2,,
Thu Feb 20 13:28:35 UTC 2014,9.9718,26.4972,0.24,0.7333,2,,
Thu Feb 20 13:28:40 UTC 2014,9.9718,26.4972,0.24,0.7333,2,,
Thu Feb 20 13:28:46 UTC 2014,9.9718,26.4972,0.24,0.7333,2,,
Thu Feb 20 13:28:51 UTC 2014,9.9718,27.2907,0.24,0.7333,2,,
Thu Feb 20 13:28:57 UTC 2014,9.9718,27.2907,0.24,0.7333,2,,
Thu Feb 20 13:29:02 UTC 2014,9.9718,27.3408,0.24,0.7333,2,,
Thu Feb 20 13:29:07 UTC 2014,9.9718,26.4786,0.24,0.7333,2,,
Thu Feb 20 13:29:13 UTC 2014,9.9718,26.4786,0.24,0.7333,2,,
Thu Feb 20 13:29:18 UTC 2014,9.9718,25.0245,0.24,0.7333,2,,
Thu Feb 20 13:29:24 UTC 2014,9.9658,25.0746,0.24,0.7333,2,,
Thu Feb 20 13:29:30 UTC 2014,9.9658,25.0746,0.24,0.7333,2,,
Thu Feb 20 13:29:35 UTC 2014,9.9658,19.6043,0.24,0.7333,2,,
Thu Feb 20 13:29:40 UTC 2014,9.9658,19.6043,0.24,0.7333,2,,
Thu Feb 20 13:29:45 UTC 2014,9.9658,22.9374,0.24,0.7667,2,,
Thu Feb 20 13:29:51 UTC 2014,9.9658,26.2,0.24,0.7667,2,,
Thu Feb 20 13:29:56 UTC 2014,9.9658,26.2,0.24,0.7667,2,,
Thu Feb 20 13:30:02 UTC 2014,9.9658,26.2,0.24,0.7667,2,,
Thu Feb 20 13:30:07 UTC 2014,9.9658,26.8395,0.24,0.7667,2,,
