Time ,cpuUsage ,cost ,currentThreadsBusy ,memUsed ,requestThroughput ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:42:49 UTC 2014,93.5391,0.12,11,30.7017,0.5,1,,
Fri Feb 21 13:42:55 UTC 2014,93.5391,0.12,11,30.7017,0.5,1,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:06 UTC 2014,91.5604,0.12,16,32.0942,0.4839,1,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:20 UTC 2014,90.2196,0.12,16,32.5951,0.4839,1,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:32 UTC 2014,93.3067,0.12,18,32.0468,0.5484,1,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:44 UTC 2014,93.3067,0.12,18,32.0468,0.5484,1,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:56 UTC 2014,94.6,0.12,17,34.867,0.5667,1,,
Fri Feb 21 13:44:03 UTC 2014,94.6,0.12,17,34.867,0.5667,1,,
Fri Feb 21 13:44:09 UTC 2014,94.6,0.12,17,34.867,0.5667,1,,
Fri Feb 21 13:44:15 UTC 2014,94.6,0.12,17,34.867,0.5667,1,,
Fri Feb 21 13:44:21 UTC 2014,94.6,0.12,17,34.867,0.5667,1,,
Fri Feb 21 13:44:28 UTC 2014,85.1555,0.12,15,33.3958,0.5938,1,,
Fri Feb 21 13:44:35 UTC 2014,85.1555,0.12,15,33.3958,0.5938,1,,
Fri Feb 21 13:44:41 UTC 2014,93.513,0.12,15,32.9651,0.5938,1,,
Fri Feb 21 13:44:46 UTC 2014,89.4212,0.12,15,30.335,0.5938,1,,
Fri Feb 21 13:44:53 UTC 2014,89.4212,0.12,15,30.335,0.5938,1,,
Fri Feb 21 13:45:01 UTC 2014,89.4212,0.12,15,30.335,0.5938,1,,
Fri Feb 21 13:45:09 UTC 2014,89.8,0.12,14,31.4334,0.5484,1,,
Fri Feb 21 13:45:15 UTC 2014,89.8,0.12,14,31.4334,0.5484,1,,
Fri Feb 21 13:45:21 UTC 2014,89.8,0.12,14,31.4334,0.5484,1,,
Fri Feb 21 13:45:26 UTC 2014,89.9302,0.12,14,32.5067,0.6129,1,,
Fri Feb 21 13:45:32 UTC 2014,89.9302,0.12,14,32.5067,0.6129,1,,
Fri Feb 21 13:45:38 UTC 2014,89.9302,0.12,14,32.5067,0.6129,1,,
Fri Feb 21 13:45:45 UTC 2014,89.9302,0.12,14,32.5067,0.6129,1,,
Fri Feb 21 13:45:52 UTC 2014,92.2,0.12,13,32.0238,0.5667,1,,
Fri Feb 21 13:46:00 UTC 2014,92.2,0.12,13,32.0238,0.5667,1,,
Fri Feb 21 13:46:08 UTC 2014,92.2,0.12,13,32.0238,0.5667,1,,
Fri Feb 21 13:46:16 UTC 2014,92.2,0.12,13,32.0238,0.5667,1,,
Fri Feb 21 13:46:22 UTC 2014,91.6084,0.12,13,29.551,0.5667,1,,
Fri Feb 21 13:46:28 UTC 2014,91.6084,0.12,13,29.551,0.5667,1,,
