Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:42:51 UTC 2014,54.9912,0.24,2.0,,
Fri Feb 21 13:42:57 UTC 2014,54.9912,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:05 UTC 2014,56.2243,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:15 UTC 2014,68.2881,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:25 UTC 2014,68.2881,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:35 UTC 2014,55.316,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:44 UTC 2014,56.3934,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:54 UTC 2014,60.262,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:03 UTC 2014,62.8898,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:10 UTC 2014,62.8898,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:16 UTC 2014,62.8898,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:22 UTC 2014,68.4903,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:30 UTC 2014,68.4903,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:36 UTC 2014,68.4903,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:42 UTC 2014,71.7835,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:47 UTC 2014,74.0185,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:53 UTC 2014,61.7011,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:01 UTC 2014,61.7011,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:06 UTC 2014,61.7011,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:13 UTC 2014,66.501,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:19 UTC 2014,66.501,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:25 UTC 2014,67.119,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:32 UTC 2014,67.119,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:39 UTC 2014,67.119,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:47 UTC 2014,67.119,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:55 UTC 2014,64.6568,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:05 UTC 2014,64.6568,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:11 UTC 2014,64.6568,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:19 UTC 2014,65.394,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:24 UTC 2014,65.394,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:30 UTC 2014,65.394,0.36,3.0,AppServer_scaleIn,AppServer
Fri Feb 21 13:46:39 UTC 2014,65.394,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:46:45 UTC 2014,65.394,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:46:55 UTC 2014,59.4355,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:02 UTC 2014,59.4355,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:11 UTC 2014,59.4355,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:17 UTC 2014,59.4355,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:25 UTC 2014,59.4355,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:30 UTC 2014,53.0137,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:36 UTC 2014,53.0137,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:43 UTC 2014,53.0137,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:50 UTC 2014,53.0137,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:47:56 UTC 2014,53.0137,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:05 UTC 2014,53.8696,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:11 UTC 2014,53.8696,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:17 UTC 2014,53.8696,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:22 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:30 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:37 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:43 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:50 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:48:57 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:04 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:09 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:15 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:21 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:28 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:34 UTC 2014,62.7825,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:41 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:46 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:53 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:49:59 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:05 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:11 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:17 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:23 UTC 2014,64.1416,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:31 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:36 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:43 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:50 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:50:56 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:03 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:10 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:15 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:22 UTC 2014,64.6099,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:28 UTC 2014,67.8438,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:34 UTC 2014,67.8438,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:40 UTC 2014,67.8438,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:46 UTC 2014,67.8438,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:51:53 UTC 2014,67.8438,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:01 UTC 2014,67.8438,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:07 UTC 2014,67.8438,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:12 UTC 2014,57.9782,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:21 UTC 2014,57.9782,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:26 UTC 2014,57.9782,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:33 UTC 2014,57.9782,0.36,3.0,AppServer_scaleIn,AppServer
Fri Feb 21 13:52:42 UTC 2014,57.9782,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:48 UTC 2014,68.1412,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:52:54 UTC 2014,68.1412,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:01 UTC 2014,68.1412,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:07 UTC 2014,68.1412,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:14 UTC 2014,68.1412,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:20 UTC 2014,68.1412,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:26 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:32 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:38 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:44 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:51 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:53:58 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:54:04 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:54:10 UTC 2014,60.0976,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:54:16 UTC 2014,62.4329,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:54:23 UTC 2014,62.4329,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:54:31 UTC 2014,62.4329,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 13:54:36 UTC 2014,62.4329,0.36,3.0,AppServer_scaleIn,
