Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:42:50 UTC 2014,54.7035,0.12,1.0,,
Fri Feb 21 13:42:56 UTC 2014,54.7035,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:04 UTC 2014,54.7035,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:13 UTC 2014,80.9187,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:22 UTC 2014,80.9187,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:32 UTC 2014,54.4703,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:42 UTC 2014,54.4703,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:51 UTC 2014,62.2075,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:44:00 UTC 2014,62.2075,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:06 UTC 2014,62.2075,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:12 UTC 2014,62.2075,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:18 UTC 2014,62.2075,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:24 UTC 2014,88.7218,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:32 UTC 2014,88.7218,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:39 UTC 2014,88.7218,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:45 UTC 2014,88.7218,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:51 UTC 2014,64.087,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:56 UTC 2014,64.087,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:02 UTC 2014,64.087,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:11 UTC 2014,64.087,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:17 UTC 2014,64.087,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:23 UTC 2014,64.5717,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:30 UTC 2014,64.5717,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:35 UTC 2014,64.5717,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:44 UTC 2014,64.5717,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:50 UTC 2014,64.7387,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:57 UTC 2014,64.7387,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:03 UTC 2014,64.7387,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:09 UTC 2014,64.7387,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:15 UTC 2014,64.7387,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:21 UTC 2014,72.3219,0.24,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:27 UTC 2014,72.3219,0.24,2.0,AppServer_scaleIn,AppServer
Fri Feb 21 13:46:39 UTC 2014,72.3219,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:46:45 UTC 2014,72.3219,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:46:51 UTC 2014,72.3219,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:46:58 UTC 2014,71.9898,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:04 UTC 2014,71.9898,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:13 UTC 2014,71.9898,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:19 UTC 2014,71.9898,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:27 UTC 2014,71.9898,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:33 UTC 2014,53.0203,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:39 UTC 2014,53.0203,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:47 UTC 2014,53.0203,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:47:52 UTC 2014,53.0203,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:03 UTC 2014,55.1022,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:09 UTC 2014,55.1022,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:15 UTC 2014,55.1022,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:20 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:26 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:33 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:40 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:46 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:48:54 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:02 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:11 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:17 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:23 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:29 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:35 UTC 2014,65.2064,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:41 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:47 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:49:54 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:01 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:07 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:14 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:21 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:26 UTC 2014,46.001,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:33 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:39 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:45 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:50:53 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:00 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:05 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:12 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:20 UTC 2014,53.8691,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:26 UTC 2014,49.9733,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:32 UTC 2014,49.9733,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:40 UTC 2014,49.9733,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:46 UTC 2014,49.9733,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:52 UTC 2014,49.9733,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:51:58 UTC 2014,49.9733,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:04 UTC 2014,49.9733,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:09 UTC 2014,44.1382,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:16 UTC 2014,44.1382,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:21 UTC 2014,44.1382,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:27 UTC 2014,44.1382,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:34 UTC 2014,44.1382,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:44 UTC 2014,44.1382,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:51 UTC 2014,64.7256,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:52:56 UTC 2014,64.7256,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:03 UTC 2014,64.7256,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:10 UTC 2014,64.7256,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:16 UTC 2014,64.7256,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:23 UTC 2014,47.4679,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:29 UTC 2014,47.4679,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:35 UTC 2014,47.4679,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:41 UTC 2014,47.4679,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 13:53:47 UTC 2014,47.4679,0.24,2.0,AppServer_scaleIn,
