Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:42:50 UTC 2014,55.2789,0.12,1.0,,
Fri Feb 21 13:42:55 UTC 2014,55.2789,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:04 UTC 2014,57.7451,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:14 UTC 2014,55.6575,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:24 UTC 2014,55.6575,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:33 UTC 2014,56.1616,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:43 UTC 2014,58.3164,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:52 UTC 2014,58.3164,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:44:02 UTC 2014,63.5722,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:08 UTC 2014,63.5722,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:14 UTC 2014,63.5722,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:19 UTC 2014,63.5722,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:25 UTC 2014,48.2587,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:34 UTC 2014,48.2587,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:41 UTC 2014,54.8452,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:47 UTC 2014,59.3152,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:52 UTC 2014,59.3152,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:58 UTC 2014,59.3152,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:04 UTC 2014,59.3152,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:10 UTC 2014,68.915,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:16 UTC 2014,68.915,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:22 UTC 2014,69.6663,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:28 UTC 2014,69.6663,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:34 UTC 2014,69.6663,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:41 UTC 2014,69.6663,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:50 UTC 2014,69.6663,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:56 UTC 2014,64.5749,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:04 UTC 2014,64.5749,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:12 UTC 2014,64.5749,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:19 UTC 2014,58.4661,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:25 UTC 2014,58.4661,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:31 UTC 2014,58.4661,0.12,1.0,AppServer_scaleIn,AppServer
Fri Feb 21 13:46:41 UTC 2014,58.4661,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:46:47 UTC 2014,58.4661,0.12,1.0,AppServer_scaleIn,
