Time ,memUsage ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:42:49 UTC 2014,9.8457,0.1001,0.12,1.0,,
Fri Feb 21 13:42:54 UTC 2014,9.8457,0.1001,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:04 UTC 2014,9.8457,0.1002,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:13 UTC 2014,9.8517,0.2,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:24 UTC 2014,9.8517,0.2,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:35 UTC 2014,9.8517,0.2,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:45 UTC 2014,9.8517,0.2,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:56 UTC 2014,9.8517,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:03 UTC 2014,9.8517,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:11 UTC 2014,9.8517,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:16 UTC 2014,9.8517,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:23 UTC 2014,9.8457,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:29 UTC 2014,9.8457,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:35 UTC 2014,9.8457,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:42 UTC 2014,9.8517,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:47 UTC 2014,9.8517,0.1998,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:53 UTC 2014,9.8517,0.1998,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:00 UTC 2014,9.8517,0.1998,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:05 UTC 2014,9.8517,0.1998,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:12 UTC 2014,9.8457,0.1002,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:18 UTC 2014,9.8457,0.1002,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:24 UTC 2014,9.8457,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:31 UTC 2014,9.8457,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:36 UTC 2014,9.8457,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:43 UTC 2014,9.8457,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:51 UTC 2014,9.8517,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:58 UTC 2014,9.8517,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:06 UTC 2014,9.8517,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:14 UTC 2014,9.8517,0.1001,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:20 UTC 2014,9.8578,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:26 UTC 2014,9.8578,0.0,0.12,1.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:33 UTC 2014,9.8578,0.0,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:46:43 UTC 2014,9.8578,0.0,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:46:52 UTC 2014,9.8578,0.0,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:00 UTC 2014,9.8634,0.2002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:06 UTC 2014,9.8634,0.2002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:14 UTC 2014,9.8634,0.2002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:22 UTC 2014,9.8634,0.2002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:30 UTC 2014,9.8634,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:35 UTC 2014,9.8634,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:42 UTC 2014,9.8634,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:50 UTC 2014,9.8634,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:47:57 UTC 2014,9.8634,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:03 UTC 2014,9.8634,0.0,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:10 UTC 2014,9.8634,0.0,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:17 UTC 2014,9.8634,0.0,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:23 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:29 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:38 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:45 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:51 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:48:59 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:06 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:13 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:20 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:26 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:33 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:39 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:44 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:50 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:49:56 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:04 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:10 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:16 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:24 UTC 2014,9.8634,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:30 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:35 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:42 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:48 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:50:55 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:01 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:06 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:14 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:21 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:27 UTC 2014,10.0145,0.2994,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:34 UTC 2014,10.0145,0.2994,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:41 UTC 2014,10.0145,0.2994,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:47 UTC 2014,10.0145,0.2994,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:51:54 UTC 2014,10.0145,0.2994,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:00 UTC 2014,10.0145,0.2994,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:06 UTC 2014,10.0145,0.2994,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:11 UTC 2014,10.0145,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:18 UTC 2014,10.0145,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:24 UTC 2014,10.0145,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:30 UTC 2014,10.0145,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:36 UTC 2014,10.0145,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:44 UTC 2014,10.0145,0.1002,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:51 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:52:57 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:05 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:12 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:18 UTC 2014,10.0205,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:25 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:31 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:37 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:43 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:50 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:53:56 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:54:04 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:54:11 UTC 2014,10.0145,0.2,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:54:16 UTC 2014,10.0145,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:54:22 UTC 2014,10.0145,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:54:29 UTC 2014,10.0145,0.1001,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 13:54:35 UTC 2014,10.0145,0.1001,0.12,1.0,AppServer_scaleIn,
