Time ,memUsage ,cpuUsage ,cost ,requestThroughput ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:42:51 UTC 2014,9.8457,46.8196,0.24,0.5,2.0,,
Fri Feb 21 13:42:56 UTC 2014,9.8457,46.8196,0.24,0.5,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:07 UTC 2014,9.8457,45.8303,0.24,0.4839,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:18 UTC 2014,9.8517,45.2098,0.24,0.4839,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:29 UTC 2014,9.8517,46.7533,0.24,0.5484,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:40 UTC 2014,9.8517,46.7533,0.24,0.5484,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:51 UTC 2014,9.8517,46.4641,0.24,0.5484,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:44:01 UTC 2014,9.8517,47.35,0.24,0.5667,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:09 UTC 2014,9.8517,47.35,0.24,0.5667,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:15 UTC 2014,9.8517,47.35,0.24,0.5667,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:20 UTC 2014,9.8517,47.35,0.24,0.5667,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:26 UTC 2014,9.8457,42.6278,0.24,0.5938,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:33 UTC 2014,9.8457,42.6278,0.24,0.5938,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:40 UTC 2014,9.8517,46.7565,0.24,0.5938,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:46 UTC 2014,9.8517,44.8105,0.24,0.5938,2.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:52 UTC 2014,9.8517,44.8105,0.24,0.5938,2.0,CassandraNode_scaleOut,
