Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:33 UTC 2014,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:40 UTC 2014,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:47 UTC 2014,5.6362,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:55 UTC 2014,6.0755,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:04 UTC 2014,6.0755,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:12 UTC 2014,6.135,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:20 UTC 2014,6.2854,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:28 UTC 2014,6.3379,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:36 UTC 2014,5.5834,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:41 UTC 2014,5.5834,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:46 UTC 2014,5.926,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:52 UTC 2014,5.8468,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:57 UTC 2014,5.6501,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:02 UTC 2014,5.6501,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:07 UTC 2014,5.4539,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:12 UTC 2014,5.4539,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:17 UTC 2014,6.3211,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:22 UTC 2014,6.3211,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:27 UTC 2014,6.9609,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:32 UTC 2014,6.1194,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:37 UTC 2014,6.1194,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:43 UTC 2014,5.4717,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:48 UTC 2014,4.773,0.36,3.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:53 UTC 2014,4.7154,0.36,3.0,CassandraNode_scaleOut,
