Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 09:56:10 UTC 2014,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:17 UTC 2014,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:22 UTC 2014,36.1668,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:27 UTC 2014,27.9642,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:33 UTC 2014,27.9642,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:38 UTC 2014,37.6065,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:43 UTC 2014,37.6065,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:48 UTC 2014,34.6031,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:53 UTC 2014,34.6031,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:58 UTC 2014,34.6031,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:04 UTC 2014,34.6031,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:09 UTC 2014,33.3294,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:14 UTC 2014,33.3294,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:19 UTC 2014,32.2065,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:24 UTC 2014,32.2065,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:29 UTC 2014,47.4098,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:34 UTC 2014,47.4098,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:39 UTC 2014,49.9391,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:44 UTC 2014,46.6992,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:50 UTC 2014,46.6992,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:55 UTC 2014,46.6992,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:00 UTC 2014,40.915,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:05 UTC 2014,40.915,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:10 UTC 2014,43.981,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:15 UTC 2014,43.981,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:20 UTC 2014,43.981,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:25 UTC 2014,30.9354,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:30 UTC 2014,30.9354,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:35 UTC 2014,30.9354,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:41 UTC 2014,32.1398,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:46 UTC 2014,32.1398,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:51 UTC 2014,43.6425,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:56 UTC 2014,43.6425,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:01 UTC 2014,45.8646,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:06 UTC 2014,35.5049,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:11 UTC 2014,35.5049,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:16 UTC 2014,35.5049,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:21 UTC 2014,38.9577,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:26 UTC 2014,38.9577,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:32 UTC 2014,29.5812,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:37 UTC 2014,29.5812,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:42 UTC 2014,29.5812,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:47 UTC 2014,36.0638,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:52 UTC 2014,36.0638,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:57 UTC 2014,36.0638,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:02 UTC 2014,30.2428,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:07 UTC 2014,30.2428,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:14 UTC 2014,35.6914,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:19 UTC 2014,35.6914,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:24 UTC 2014,27.0963,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:29 UTC 2014,25.9234,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:34 UTC 2014,25.9234,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:39 UTC 2014,33.4048,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:44 UTC 2014,33.4048,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:49 UTC 2014,38.7181,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:00:54 UTC 2014,38.7181,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:00 UTC 2014,42.7807,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:05 UTC 2014,38.2376,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:10 UTC 2014,38.2376,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:15 UTC 2014,38.2376,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:20 UTC 2014,47.6736,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:25 UTC 2014,47.6736,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:30 UTC 2014,33.5107,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:35 UTC 2014,33.5107,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:40 UTC 2014,33.5107,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:45 UTC 2014,25.2656,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:50 UTC 2014,25.2656,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:01:55 UTC 2014,25.2656,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:00 UTC 2014,24.8761,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:05 UTC 2014,24.8761,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:10 UTC 2014,25.5987,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:16 UTC 2014,25.5987,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:21 UTC 2014,25.5987,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:26 UTC 2014,26.8969,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:31 UTC 2014,26.2929,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:36 UTC 2014,26.2929,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:41 UTC 2014,39.7037,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:46 UTC 2014,39.7037,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:51 UTC 2014,21.4669,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:02:56 UTC 2014,21.4669,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:01 UTC 2014,21.4669,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:06 UTC 2014,20.1731,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:11 UTC 2014,20.1731,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:16 UTC 2014,26.7191,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:21 UTC 2014,26.7191,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:27 UTC 2014,19.5186,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:32 UTC 2014,19.5186,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:37 UTC 2014,19.5186,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:42 UTC 2014,19.5186,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:47 UTC 2014,33.7515,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:52 UTC 2014,40.8836,0.24,2.0,CassandraNode_scaleIn,
Fri Feb 21 10:03:57 UTC 2014,36.2337,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:05 UTC 2014,36.2337,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:13 UTC 2014,21.1371,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:21 UTC 2014,21.1371,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:29 UTC 2014,41.8759,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:38 UTC 2014,52.496,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:46 UTC 2014,52.496,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:04:54 UTC 2014,56.2877,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:05:02 UTC 2014,56.2877,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:07 UTC 2014,51.5763,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:12 UTC 2014,49.1572,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:17 UTC 2014,45.5602,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:22 UTC 2014,45.5602,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:27 UTC 2014,48.4067,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:32 UTC 2014,48.4067,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:37 UTC 2014,48.4067,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:42 UTC 2014,45.6462,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:48 UTC 2014,45.6462,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:53 UTC 2014,45.6462,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:05:58 UTC 2014,47.7318,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:03 UTC 2014,47.7318,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:08 UTC 2014,47.8157,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:13 UTC 2014,47.8157,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:18 UTC 2014,47.8157,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:23 UTC 2014,53.325,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:28 UTC 2014,53.0938,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:33 UTC 2014,53.0938,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:38 UTC 2014,47.4023,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:43 UTC 2014,47.4023,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:48 UTC 2014,47.8605,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:53 UTC 2014,47.8605,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:06:59 UTC 2014,45.1474,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:04 UTC 2014,54.3046,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:09 UTC 2014,54.3046,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:14 UTC 2014,54.3046,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:19 UTC 2014,35.3545,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:24 UTC 2014,35.3545,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:29 UTC 2014,30.5275,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:34 UTC 2014,55.5275,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:39 UTC 2014,55.5275,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:44 UTC 2014,57.923,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:49 UTC 2014,57.923,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:54 UTC 2014,57.923,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:07:59 UTC 2014,69.3026,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:05 UTC 2014,63.5544,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:10 UTC 2014,63.7741,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:15 UTC 2014,63.7741,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:20 UTC 2014,63.7741,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:25 UTC 2014,53.1925,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:30 UTC 2014,55.1617,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:35 UTC 2014,55.1617,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:40 UTC 2014,63.7815,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:45 UTC 2014,63.7815,0.36,3.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:50 UTC 2014,70.239,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:08:55 UTC 2014,70.239,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:00 UTC 2014,71.7598,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:05 UTC 2014,71.7535,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:10 UTC 2014,71.7535,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:16 UTC 2014,71.7535,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:21 UTC 2014,68.9658,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:26 UTC 2014,63.7645,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:31 UTC 2014,53.8313,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:36 UTC 2014,53.8313,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:41 UTC 2014,53.8313,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:46 UTC 2014,49.2364,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:51 UTC 2014,46.2203,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:09:56 UTC 2014,51.4554,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:01 UTC 2014,51.1145,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:06 UTC 2014,51.1145,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:11 UTC 2014,62.2667,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:16 UTC 2014,62.2667,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:21 UTC 2014,64.2186,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:26 UTC 2014,45.8067,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:31 UTC 2014,45.8067,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:37 UTC 2014,45.8067,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:42 UTC 2014,41.8429,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:47 UTC 2014,56.2477,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:52 UTC 2014,56.2477,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:10:57 UTC 2014,55.8459,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:11:02 UTC 2014,57.1315,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:11:07 UTC 2014,47.0891,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:11:12 UTC 2014,47.0891,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:11:17 UTC 2014,57.3527,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:11:22 UTC 2014,57.3527,0.36,3.0,AppServer_scaleIn,
Fri Feb 21 10:11:27 UTC 2014,59.8968,0.36,3.0,AppServer_scaleIn,
