Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 09:56:09 UTC 2014,0.12,1.0,,
Fri Feb 21 09:56:14 UTC 2014,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:19 UTC 2014,60.0,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:25 UTC 2014,43.1514,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:30 UTC 2014,43.1514,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:35 UTC 2014,43.1514,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:40 UTC 2014,62.436,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:45 UTC 2014,62.436,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:51 UTC 2014,52.7013,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:56:56 UTC 2014,52.7013,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:01 UTC 2014,52.7013,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:06 UTC 2014,50.1538,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:11 UTC 2014,50.1538,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:16 UTC 2014,50.1538,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:21 UTC 2014,47.6617,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:27 UTC 2014,47.6617,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:32 UTC 2014,78.0684,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:37 UTC 2014,78.0684,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:42 UTC 2014,78.0684,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:47 UTC 2014,71.5886,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:52 UTC 2014,71.5886,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:57:57 UTC 2014,71.5886,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:02 UTC 2014,60.0201,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:07 UTC 2014,60.0201,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:12 UTC 2014,73.1151,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:18 UTC 2014,73.1151,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:23 UTC 2014,73.1151,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:28 UTC 2014,47.0238,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:33 UTC 2014,47.0238,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:38 UTC 2014,48.9383,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:43 UTC 2014,48.9383,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:48 UTC 2014,71.9439,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:53 UTC 2014,71.9439,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:58:58 UTC 2014,71.9439,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:03 UTC 2014,71.9439,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:08 UTC 2014,51.2245,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:14 UTC 2014,51.2245,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:19 UTC 2014,58.1301,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:24 UTC 2014,58.1301,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:29 UTC 2014,45.2183,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:34 UTC 2014,45.2183,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:39 UTC 2014,45.2183,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:44 UTC 2014,58.1836,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:49 UTC 2014,58.1836,0.12,1.0,CassandraNode_scaleIn,
Fri Feb 21 09:59:54 UTC 2014,58.1836,0.12,1.0,CassandraNode_scaleIn,
