Time ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:33 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:39 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:45 UTC 2014,4.1673,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:53 UTC 2014,5.0075,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:00 UTC 2014,5.578,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:07 UTC 2014,5.5801,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:14 UTC 2014,5.5664,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:21 UTC 2014,4.5854,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:28 UTC 2014,4.6117,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:18:36 UTC 2014,4.2345,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:41 UTC 2014,5.181,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:46 UTC 2014,5.3024,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:51 UTC 2014,4.5093,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:18:56 UTC 2014,4.3714,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:01 UTC 2014,4.123,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:06 UTC 2014,4.0437,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:11 UTC 2014,5.2191,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:16 UTC 2014,5.276,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:22 UTC 2014,5.8011,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:27 UTC 2014,6.1211,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:32 UTC 2014,5.7003,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:37 UTC 2014,6.3012,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:42 UTC 2014,5.9774,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:47 UTC 2014,5.9774,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:52 UTC 2014,4.6091,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:19:57 UTC 2014,4.6091,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:02 UTC 2014,4.6099,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:07 UTC 2014,4.8535,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:13 UTC 2014,4.3777,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:18 UTC 2014,4.0945,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:23 UTC 2014,3.9361,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:28 UTC 2014,4.0867,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:33 UTC 2014,4.1853,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:38 UTC 2014,5.4688,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:43 UTC 2014,5.4008,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:48 UTC 2014,4.4594,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:54 UTC 2014,8679.0067,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:20:59 UTC 2014,17.0558,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:04 UTC 2014,16.7442,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:09 UTC 2014,20.4846,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:14 UTC 2014,21.8583,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:19 UTC 2014,19.8849,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:24 UTC 2014,6.6822,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:29 UTC 2014,6.4033,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:34 UTC 2014,6.3792,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:39 UTC 2014,6.695,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:44 UTC 2014,6.7065,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:49 UTC 2014,5.9669,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:54 UTC 2014,5.9122,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:21:59 UTC 2014,5.4937,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:05 UTC 2014,5.4937,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:10 UTC 2014,6.8625,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:15 UTC 2014,8.2363,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:20 UTC 2014,5.353,5.0,CassandraNode_scaleOut,
Thu Feb 20 12:22:25 UTC 2014,3.8655,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:22:32 UTC 2014,3.7675,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:22:39 UTC 2014,4.7134,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:22:46 UTC 2014,4.7383,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:22:53 UTC 2014,4.8742,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:00 UTC 2014,5.124,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:07 UTC 2014,5.4462,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:14 UTC 2014,7.053,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:21 UTC 2014,6.0781,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:29 UTC 2014,6.2877,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:36 UTC 2014,6.2626,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:43 UTC 2014,6.4834,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:50 UTC 2014,6.1342,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:23:57 UTC 2014,6.3106,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:04 UTC 2014,6.754,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:11 UTC 2014,6.4733,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:18 UTC 2014,5.5253,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:25 UTC 2014,5.3107,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:32 UTC 2014,5.455,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:39 UTC 2014,7.2186,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:46 UTC 2014,8.0146,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:24:53 UTC 2014,9.5582,5.0,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 12:25:00 UTC 2014,9.8049,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:05 UTC 2014,9.8049,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:11 UTC 2014,10.3271,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:16 UTC 2014,11.1324,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:21 UTC 2014,12.5457,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:26 UTC 2014,13.4781,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:31 UTC 2014,13.4227,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:25:36 UTC 2014,13.3977,4.0,CassandraNode_scaleIn,
