Time ,cpuUsage ,cost ,memUsed ,requestThroughput ,busyThreads ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:24:19 UTC 2014,63.2924,0.12,62.0322,0.7,0,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:30 UTC 2014,51.3875,0.12,60.9529,0.7,0,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:41 UTC 2014,64.3713,0.12,62.0141,0.8333,0,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:53 UTC 2014,60.259,0.12,62.861,0.8333,0,1,,
Thu Feb 20 13:24:58 UTC 2014,60.259,0.12,62.861,0.8333,0,1,,
Thu Feb 20 13:25:04 UTC 2014,47.5806,0.12,64.413,0.8333,0,1,,
Thu Feb 20 13:25:09 UTC 2014,47.5806,0.12,64.413,0.8333,0,1,,
Thu Feb 20 13:25:14 UTC 2014,47.5806,0.12,64.413,0.8333,0,1,,
Thu Feb 20 13:25:20 UTC 2014,34.7237,0.12,65.2726,0.6333,0,1,,
Thu Feb 20 13:25:26 UTC 2014,34.7237,0.12,65.2726,0.6333,0,1,,
Thu Feb 20 13:25:31 UTC 2014,38.2564,0.12,65.3962,0.6333,0,1,,
Thu Feb 20 13:25:37 UTC 2014,39.3476,0.12,65.4906,0.7,0,1,,
Thu Feb 20 13:25:42 UTC 2014,39.3476,0.12,65.4906,0.7,0,1,,
Thu Feb 20 13:25:47 UTC 2014,39.3476,0.12,65.4906,0.7,0,1,,
Thu Feb 20 13:25:54 UTC 2014,40.0404,0.12,65.3642,0.7,0,1,,
Thu Feb 20 13:25:59 UTC 2014,40.0404,0.12,65.3642,0.7,0,1,,
Thu Feb 20 13:26:05 UTC 2014,35.6636,0.12,66.2047,0.7,0,1,,
Thu Feb 20 13:26:10 UTC 2014,36.4562,0.12,66.2342,0.7,0,1,,
Thu Feb 20 13:26:16 UTC 2014,36.4562,0.12,66.2342,0.7,0,1,,
Thu Feb 20 13:26:21 UTC 2014,36.4562,0.12,66.2342,0.7,0,1,,
Thu Feb 20 13:26:27 UTC 2014,36.4562,0.12,66.2342,0.7,0,1,,
