Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:23:55 UTC 2014,71.6575,0.36,3,,
Thu Feb 20 13:24:01 UTC 2014,71.6575,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:09 UTC 2014,0.36,3,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:17 UTC 2014,59.1881,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:25 UTC 2014,68.4639,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:34 UTC 2014,70.1869,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:42 UTC 2014,64.4307,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:51 UTC 2014,58.2923,0.48,4,,
Thu Feb 20 13:24:56 UTC 2014,52.8236,0.48,4,,
Thu Feb 20 13:25:02 UTC 2014,59.9055,0.48,4,,
Thu Feb 20 13:25:08 UTC 2014,59.9055,0.48,4,,
Thu Feb 20 13:25:13 UTC 2014,59.9055,0.48,4,,
Thu Feb 20 13:25:19 UTC 2014,52.4186,0.48,4,,
Thu Feb 20 13:25:24 UTC 2014,52.4186,0.48,4,,
Thu Feb 20 13:25:30 UTC 2014,52.4186,0.48,4,,
Thu Feb 20 13:25:36 UTC 2014,45.5132,0.48,4,,
Thu Feb 20 13:25:41 UTC 2014,45.5132,0.48,4,,
Thu Feb 20 13:25:47 UTC 2014,46.7244,0.48,4,,
Thu Feb 20 13:25:53 UTC 2014,46.7244,0.48,4,,
Thu Feb 20 13:25:59 UTC 2014,46.7244,0.48,4,,
Thu Feb 20 13:26:04 UTC 2014,53.454,0.48,4,,
Thu Feb 20 13:26:09 UTC 2014,70.2901,0.48,4,,
Thu Feb 20 13:26:15 UTC 2014,70.2901,0.48,4,,
Thu Feb 20 13:26:20 UTC 2014,72.15,0.48,4,,
Thu Feb 20 13:26:26 UTC 2014,72.15,0.48,4,,
Thu Feb 20 13:26:31 UTC 2014,72.15,0.48,4,,
Thu Feb 20 13:26:36 UTC 2014,79.0303,0.48,4,,
Thu Feb 20 13:26:42 UTC 2014,79.0303,0.48,4,,
Thu Feb 20 13:26:47 UTC 2014,83.1993,0.48,4,,
Thu Feb 20 13:26:53 UTC 2014,83.1993,0.48,4,,
Thu Feb 20 13:26:58 UTC 2014,83.1993,0.48,4,,
Thu Feb 20 13:27:03 UTC 2014,77.6201,0.48,4,,
Thu Feb 20 13:27:09 UTC 2014,73.7481,0.48,4,,
Thu Feb 20 13:27:14 UTC 2014,73.7481,0.48,4,,
Thu Feb 20 13:27:20 UTC 2014,61.1067,0.48,4,,
Thu Feb 20 13:27:25 UTC 2014,56.9109,0.48,4,,
Thu Feb 20 13:27:30 UTC 2014,56.9109,0.48,4,,
Thu Feb 20 13:27:36 UTC 2014,56.9873,0.48,4,,
Thu Feb 20 13:27:41 UTC 2014,56.9873,0.48,4,,
Thu Feb 20 13:27:47 UTC 2014,66.6718,0.48,4,,
Thu Feb 20 13:27:52 UTC 2014,66.6718,0.48,4,,
Thu Feb 20 13:27:58 UTC 2014,66.6718,0.48,4,,
Thu Feb 20 13:28:03 UTC 2014,57.8582,0.48,4,,
Thu Feb 20 13:28:09 UTC 2014,57.8582,0.48,4,,
Thu Feb 20 13:28:14 UTC 2014,57.8582,0.48,4,,
Thu Feb 20 13:28:20 UTC 2014,59.2935,0.48,4,,
Thu Feb 20 13:28:25 UTC 2014,59.2935,0.48,4,,
Thu Feb 20 13:28:31 UTC 2014,59.2935,0.48,4,,
Thu Feb 20 13:28:36 UTC 2014,61.9083,0.48,4,,
Thu Feb 20 13:28:41 UTC 2014,61.9083,0.48,4,,
Thu Feb 20 13:28:47 UTC 2014,61.9083,0.48,4,,
Thu Feb 20 13:28:52 UTC 2014,62.2149,0.48,4,,
Thu Feb 20 13:28:58 UTC 2014,61.5799,0.48,4,,
Thu Feb 20 13:29:04 UTC 2014,61.5799,0.48,4,,
Thu Feb 20 13:29:09 UTC 2014,58.7527,0.48,4,,
Thu Feb 20 13:29:14 UTC 2014,58.7527,0.48,4,,
Thu Feb 20 13:29:20 UTC 2014,58.3558,0.48,4,,
Thu Feb 20 13:29:25 UTC 2014,58.3558,0.48,4,,
Thu Feb 20 13:29:30 UTC 2014,58.3558,0.48,4,,
Thu Feb 20 13:29:36 UTC 2014,60.4674,0.48,4,,
Thu Feb 20 13:29:41 UTC 2014,60.4674,0.48,4,,
Thu Feb 20 13:29:47 UTC 2014,60.4674,0.48,4,,
Thu Feb 20 13:29:52 UTC 2014,63.1095,0.48,4,,
Thu Feb 20 13:29:58 UTC 2014,62.4772,0.48,4,,
Thu Feb 20 13:30:03 UTC 2014,62.4772,0.48,4,,
Thu Feb 20 13:30:09 UTC 2014,66.8455,0.48,4,,
Thu Feb 20 13:30:14 UTC 2014,66.8455,0.48,4,,
Thu Feb 20 13:30:19 UTC 2014,64.3966,0.48,4,,
Thu Feb 20 13:30:25 UTC 2014,64.3966,0.48,4,,
Thu Feb 20 13:30:30 UTC 2014,64.3966,0.48,4,,
Thu Feb 20 13:30:36 UTC 2014,59.889,0.48,4,,
Thu Feb 20 13:30:41 UTC 2014,59.889,0.48,4,,
Thu Feb 20 13:30:47 UTC 2014,59.889,0.48,4,,
Thu Feb 20 13:30:52 UTC 2014,45.5096,0.48,4,,
Thu Feb 20 13:30:57 UTC 2014,45.5096,0.48,4,,
Thu Feb 20 13:31:03 UTC 2014,41.6787,0.48,4,,
Thu Feb 20 13:31:09 UTC 2014,51.0778,0.48,4,,
Thu Feb 20 13:31:14 UTC 2014,51.0778,0.48,4,,
Thu Feb 20 13:31:19 UTC 2014,50.4714,0.48,4,,
Thu Feb 20 13:31:25 UTC 2014,50.4714,0.48,4,,
Thu Feb 20 13:31:30 UTC 2014,48.1661,0.48,4,,
Thu Feb 20 13:31:36 UTC 2014,48.1661,0.48,4,,
Thu Feb 20 13:31:41 UTC 2014,50.4098,0.48,4,,
Thu Feb 20 13:31:47 UTC 2014,53.4641,0.48,4,,
Thu Feb 20 13:31:52 UTC 2014,53.4641,0.48,4,,
Thu Feb 20 13:31:57 UTC 2014,54.7592,0.48,4,,
Thu Feb 20 13:32:03 UTC 2014,54.7592,0.48,4,,
Thu Feb 20 13:32:08 UTC 2014,49.0412,0.48,4,,
Thu Feb 20 13:32:13 UTC 2014,49.0412,0.48,4,,
Thu Feb 20 13:32:18 UTC 2014,49.3,0.48,4,,
Thu Feb 20 13:32:24 UTC 2014,46.3365,0.48,4,,
Thu Feb 20 13:32:29 UTC 2014,46.3365,0.48,4,,
Thu Feb 20 13:32:34 UTC 2014,46.7705,0.48,4,,
Thu Feb 20 13:32:40 UTC 2014,46.7705,0.48,4,,
Thu Feb 20 13:32:45 UTC 2014,46.2657,0.48,4,,
Thu Feb 20 13:32:51 UTC 2014,46.2657,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:32:59 UTC 2014,47.3989,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:08 UTC 2014,47.3989,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:17 UTC 2014,43.3383,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:26 UTC 2014,54.0762,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:34 UTC 2014,54.967,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:43 UTC 2014,57.7553,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:33:51 UTC 2014,46.8201,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:00 UTC 2014,43.1196,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:08 UTC 2014,45.3495,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:17 UTC 2014,45.3721,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:25 UTC 2014,53.6928,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:33 UTC 2014,50.4761,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:42 UTC 2014,49.1892,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:50 UTC 2014,49.3338,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:34:59 UTC 2014,49.5267,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:08 UTC 2014,49.5267,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:17 UTC 2014,49.1034,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:25 UTC 2014,49.4944,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:33 UTC 2014,50.2347,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:41 UTC 2014,52.9294,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:50 UTC 2014,52.9294,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:35:58 UTC 2014,56.5907,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:07 UTC 2014,56.5907,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:15 UTC 2014,50.0341,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:23 UTC 2014,48.581,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:32 UTC 2014,48.581,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:40 UTC 2014,44.0158,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:49 UTC 2014,44.0158,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:36:57 UTC 2014,44.8381,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:37:06 UTC 2014,50.2796,0.48,4,,
Thu Feb 20 13:37:13 UTC 2014,52.6646,0.36,3,,
Thu Feb 20 13:37:19 UTC 2014,52.6646,0.36,3,,
Thu Feb 20 13:37:24 UTC 2014,47.4369,0.36,3,,
Thu Feb 20 13:37:30 UTC 2014,47.4369,0.36,3,,
Thu Feb 20 13:37:35 UTC 2014,52.1523,0.36,3,,
Thu Feb 20 13:37:40 UTC 2014,52.1523,0.36,3,,
Thu Feb 20 13:37:46 UTC 2014,52.9398,0.36,3,,
Thu Feb 20 13:37:51 UTC 2014,52.9398,0.36,3,,
Thu Feb 20 13:37:57 UTC 2014,62.671,0.36,3,,
Thu Feb 20 13:38:03 UTC 2014,62.671,0.36,3,,
Thu Feb 20 13:38:09 UTC 2014,62.671,0.36,3,,
Thu Feb 20 13:38:14 UTC 2014,61.8894,0.36,3,,
Thu Feb 20 13:38:20 UTC 2014,55.2277,0.36,3,,
Thu Feb 20 13:38:25 UTC 2014,55.2277,0.36,3,,
Thu Feb 20 13:38:31 UTC 2014,52.3556,0.36,3,,
Thu Feb 20 13:38:36 UTC 2014,52.3556,0.36,3,,
Thu Feb 20 13:38:41 UTC 2014,52.3556,0.36,3,,
Thu Feb 20 13:38:47 UTC 2014,51.9943,0.36,3,,
Thu Feb 20 13:38:52 UTC 2014,51.0902,0.36,3,,
