Time ,memUsage ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:23:54 UTC 2014,9.9741,0,0.12,1,,
Thu Feb 20 13:24:00 UTC 2014,9.9741,0,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:09 UTC 2014,9.9741,0,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:17 UTC 2014,9.9681,0.2002,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:27 UTC 2014,9.9681,0.1,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:36 UTC 2014,9.9741,0.2,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:24:45 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:24:54 UTC 2014,9.9741,0,0.12,1,,
Thu Feb 20 13:24:59 UTC 2014,9.9741,0,0.12,1,,
Thu Feb 20 13:25:05 UTC 2014,9.9741,0,0.12,1,,
Thu Feb 20 13:25:10 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:25:16 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:25:22 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:25:27 UTC 2014,9.9681,0.2,0.12,1,,
Thu Feb 20 13:25:33 UTC 2014,9.9681,0.2,0.12,1,,
Thu Feb 20 13:25:38 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:25:44 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:25:49 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:25:54 UTC 2014,9.9741,0.1001,0.12,1,,
Thu Feb 20 13:26:00 UTC 2014,9.9741,0.1001,0.12,1,,
Thu Feb 20 13:26:06 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:26:12 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:26:17 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:26:22 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:26:28 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:26:33 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:26:39 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:26:44 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:26:50 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:26:55 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:27:00 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:27:06 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:27:11 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:27:16 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:27:22 UTC 2014,9.9741,0.2,0.12,1,,
Thu Feb 20 13:27:27 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:27:33 UTC 2014,9.9681,0,0.12,1,,
Thu Feb 20 13:27:38 UTC 2014,9.9741,0.2002,0.12,1,,
Thu Feb 20 13:27:44 UTC 2014,9.9741,0.2002,0.12,1,,
Thu Feb 20 13:27:49 UTC 2014,9.9741,0.2002,0.12,1,,
Thu Feb 20 13:27:55 UTC 2014,9.9741,0.0999,0.12,1,,
Thu Feb 20 13:28:00 UTC 2014,9.9741,0.0999,0.12,1,,
Thu Feb 20 13:28:06 UTC 2014,9.9741,0.0999,0.12,1,,
Thu Feb 20 13:28:11 UTC 2014,9.9718,0,0.12,1,,
Thu Feb 20 13:28:16 UTC 2014,9.9718,0,0.12,1,,
Thu Feb 20 13:28:22 UTC 2014,9.9658,0,0.12,1,,
Thu Feb 20 13:28:27 UTC 2014,9.9658,0,0.12,1,,
Thu Feb 20 13:28:33 UTC 2014,9.9658,0,0.12,1,,
Thu Feb 20 13:28:38 UTC 2014,9.9718,0.1001,0.12,1,,
