Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 13:42:52 UTC 2014,50.9054,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:00 UTC 2014,51.0273,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:09 UTC 2014,51.0273,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:19 UTC 2014,56.7489,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:27 UTC 2014,51.0346,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:36 UTC 2014,51.0346,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:45 UTC 2014,51.5734,0.48,4.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 13:43:55 UTC 2014,53.3631,0.48,4.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:04 UTC 2014,55.1199,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:13 UTC 2014,55.1199,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:19 UTC 2014,55.1199,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:25 UTC 2014,55.559,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:31 UTC 2014,55.559,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:38 UTC 2014,59.27,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:44 UTC 2014,59.4145,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:50 UTC 2014,53.2558,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:44:55 UTC 2014,53.2558,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:01 UTC 2014,53.2558,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:08 UTC 2014,53.2558,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:13 UTC 2014,55.7255,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:21 UTC 2014,55.7255,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:27 UTC 2014,56.0421,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:32 UTC 2014,56.0421,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:42 UTC 2014,56.0421,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:48 UTC 2014,56.0421,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:45:55 UTC 2014,55.4034,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:01 UTC 2014,55.4034,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:07 UTC 2014,55.4034,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:13 UTC 2014,55.4034,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:19 UTC 2014,55.5991,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:24 UTC 2014,55.5991,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 13:46:31 UTC 2014,55.5991,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:46:42 UTC 2014,55.5991,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:46:49 UTC 2014,55.5991,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:46:56 UTC 2014,55.5991,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:01 UTC 2014,52.2479,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:09 UTC 2014,52.2479,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:15 UTC 2014,52.2479,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:22 UTC 2014,52.2479,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:28 UTC 2014,52.2479,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:34 UTC 2014,41.0309,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:39 UTC 2014,41.0309,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:46 UTC 2014,41.0309,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:47:51 UTC 2014,41.0309,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:00 UTC 2014,41.0309,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:07 UTC 2014,45.1963,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:13 UTC 2014,45.1963,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:18 UTC 2014,45.1963,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:25 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:31 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:38 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:44 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:52 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:48:58 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:49:07 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:49:14 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:49:20 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:49:26 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:49:33 UTC 2014,50.08,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 13:49:40 UTC 2014,54.8611,0.6,5.0,AppServer_scaleIn,
